,county_name,deaths
233223,Barnstable County,47
234133,Franklin County,12
234036,Essex County,1119
234006,Essex County,986
233254,Barnstable County,121
234102,Franklin County,0
234073,Franklin County,0
233162,Barnstable County,0
234261,Hampden County,0
234290,Hampden County,0
234321,Hampden County,35
234330,Hampden County,115
234331,Hampden County,134
234332,Hampden County,153
234333,Hampden County,163
234334,Hampden County,183
234335,Hampden County,202
234336,Hampden County,213
234337,Hampden County,224
234338,Hampden County,244
234339,Hampden County,271
234340,Hampden County,287
234341,Hampden County,299
234342,Hampden County,315
234343,Hampden County,327
234344,Hampden County,337
234345,Hampden County,346
234346,Hampden County,358
234347,Hampden County,373
234351,Hampden County,408
233206,Barnstable County,20
233205,Barnstable County,18
233204,Barnstable County,18
233203,Barnstable County,17
233202,Barnstable County,17
234194,Franklin County,47
234145,Franklin County,25
234146,Franklin County,25
234147,Franklin County,25
233219,Barnstable County,43
233218,Barnstable County,40
233217,Barnstable County,39
234142,Franklin County,25
233216,Barnstable County,39
234143,Franklin County,25
234144,Franklin County,25
233215,Barnstable County,37
233214,Barnstable County,37
233213,Barnstable County,32
233209,Barnstable County,21
233208,Barnstable County,21
233207,Barnstable County,20
234163,Franklin County,37
234148,Franklin County,26
234149,Franklin County,26
233212,Barnstable County,28
234150,Franklin County,29
234151,Franklin County,30
234152,Franklin County,30
233211,Barnstable County,27
234153,Franklin County,31
234154,Franklin County,32
233210,Barnstable County,22
234155,Franklin County,33
234156,Franklin County,33
234157,Franklin County,33
234158,Franklin County,35
234159,Franklin County,37
233193,Barnstable County,6
234224,Franklin County,55
233960,Essex County,209
233630,Bristol County,452
233660,Bristol County,590
233381,Berkshire County,10
233406,Berkshire County,34
233405,Berkshire County,31
233404,Berkshire County,31
233407,Berkshire County,35
233582,Bristol County,75
233403,Berkshire County,31
233583,Bristol County,83
233402,Berkshire County,31
233401,Berkshire County,31
233578,Bristol County,46
233579,Bristol County,53
233580,Bristol County,56
233581,Bristol County,63
233411,Berkshire County,36
233584,Bristol County,87
233395,Berkshire County,27
233394,Berkshire County,26
233393,Berkshire County,26
233392,Berkshire County,23
233585,Bristol County,88
233391,Berkshire County,23
233390,Berkshire County,22
233586,Bristol County,96
233400,Berkshire County,31
233587,Bristol County,104
233588,Bristol County,109
233589,Bristol County,126
233590,Bristol County,130
233591,Bristol County,134
233592,Bristol County,137
233593,Bristol County,155
233594,Bristol County,165
233595,Bristol County,172
233599,Bristol County,205
233399,Berkshire County,31
233398,Berkshire County,29
233397,Berkshire County,28
233396,Berkshire County,28
233697,Dukes County,0
233726,Dukes County,0
233472,Berkshire County,45
233442,Berkshire County,40
233569,Bristol County,5
233538,Bristol County,0
233509,Bristol County,0
233321,Berkshire County,0
233914,Essex County,0
233848,Dukes County,0
233885,Essex County,0
233971,Essex County,448
233968,Essex County,359
233969,Essex County,383
233970,Essex County,425
233975,Essex County,512
233954,Essex County,113
233955,Essex County,125
233956,Essex County,140
233957,Essex County,159
233958,Essex County,178
233959,Essex County,193
233961,Essex County,225
233962,Essex County,245
233945,Essex County,25
233284,Barnstable County,149
233963,Essex County,271
233964,Essex County,292
233965,Essex County,319
233966,Essex County,336
233967,Essex County,350
233783,Dukes County,0
233350,Berkshire County,0
233787,Dukes County,0
233766,Dukes County,0
233767,Dukes County,0
233768,Dukes County,0
233769,Dukes County,0
233770,Dukes County,0
233771,Dukes County,0
233772,Dukes County,0
233757,Dukes County,0
233773,Dukes County,0
233774,Dukes County,0
233775,Dukes County,0
233776,Dukes County,0
233777,Dukes County,0
233778,Dukes County,0
233779,Dukes County,0
233780,Dukes County,0
233781,Dukes County,0
233782,Dukes County,0
233818,Dukes County,0
235577,Worcester County,0
235606,Worcester County,0
235540,Suffolk County,1007
235510,Suffolk County,913
235698,Worcester County,806
235637,Worcester County,17
235646,Worcester County,50
235667,Worcester County,320
235656,Worcester County,155
235655,Worcester County,143
235654,Worcester County,133
235653,Worcester County,117
235652,Worcester County,113
235651,Worcester County,102
235650,Worcester County,91
235649,Worcester County,83
235648,Worcester County,73
235647,Worcester County,56
235657,Worcester County,166
235663,Worcester County,265
235662,Worcester County,253
235661,Worcester County,229
235660,Worcester County,215
235659,Worcester County,206
235658,Worcester County,183
235322,Plymouth County,579
235352,Plymouth County,667
235281,Plymouth County,197
235280,Plymouth County,176
235279,Plymouth County,157
235278,Plymouth County,141
235291,Plymouth County,333
235287,Plymouth County,285
235286,Plymouth County,273
235285,Plymouth County,256
235284,Plymouth County,240
235283,Plymouth County,230
235282,Plymouth County,212
235449,Suffolk County,28
235418,Suffolk County,0
235458,Suffolk County,106
235479,Suffolk County,596
235468,Suffolk County,346
235466,Suffolk County,285
235465,Suffolk County,263
235464,Suffolk County,238
235463,Suffolk County,214
235462,Suffolk County,190
235461,Suffolk County,166
235460,Suffolk County,147
235459,Suffolk County,120
235467,Suffolk County,318
235469,Suffolk County,372
235475,Suffolk County,524
235474,Suffolk County,504
235473,Suffolk County,469
235472,Suffolk County,448
235471,Suffolk County,424
235470,Suffolk County,391
235389,Suffolk County,0
235728,Worcester County,937
235277,Plymouth County,134
234666,Middlesex County,0
234697,Middlesex County,39
234637,Middlesex County,0
234600,Hampshire County,116
234758,Middlesex County,1689
234719,Middlesex County,670
234717,Middlesex County,585
234716,Middlesex County,545
234715,Middlesex County,494
234714,Middlesex County,428
234713,Middlesex County,402
234712,Middlesex County,372
234711,Middlesex County,334
234710,Middlesex County,294
234709,Middlesex County,258
234708,Middlesex County,221
234707,Middlesex County,188
234706,Middlesex County,163
234718,Middlesex County,629
234720,Middlesex County,700
234721,Middlesex County,731
234723,Middlesex County,845
234722,Middlesex County,802
234727,Middlesex County,997
234478,Hampshire County,0
234449,Hampshire County,0
234382,Hampden County,609
234412,Hampden County,664
234529,Hampshire County,17
234533,Hampshire County,26
234532,Hampshire County,26
234531,Hampshire County,24
234530,Hampshire County,20
234534,Hampshire County,26
234535,Hampshire County,30
234539,Hampshire County,36
234570,Hampshire County,94
234518,Hampshire County,7
234509,Hampshire County,4
234528,Hampshire County,15
234527,Hampshire County,14
234526,Hampshire County,10
234521,Hampshire County,7
234520,Hampshire County,7
234519,Hampshire County,7
234525,Hampshire County,9
234524,Hampshire County,8
234523,Hampshire County,8
234522,Hampshire County,8
235073,Norfolk County,25
235134,Norfolk County,854
235088,Norfolk County,245
235087,Norfolk County,216
235086,Norfolk County,196
235085,Norfolk County,174
235084,Norfolk County,148
235083,Norfolk County,124
235082,Norfolk County,106
235089,Norfolk County,263
235090,Norfolk County,290
235103,Norfolk County,555
235099,Norfolk County,499
235098,Norfolk County,484
235097,Norfolk County,448
235096,Norfolk County,429
235095,Norfolk County,418
235094,Norfolk County,400
235093,Norfolk County,368
235092,Norfolk County,335
235091,Norfolk County,312
235042,Norfolk County,0
235261,Plymouth County,7
235276,Plymouth County,129
235275,Plymouth County,120
235274,Plymouth County,103
235273,Plymouth County,91
235272,Plymouth County,87
235271,Plymouth County,75
235270,Plymouth County,64
235230,Plymouth County,0
235201,Plymouth County,0
235164,Norfolk County,937
234788,Middlesex County,1877
234854,Nantucket County,0
234825,Nantucket County,0
234885,Nantucket County,0
234894,Nantucket County,1
234976,Nantucket County,1
235013,Norfolk County,0
234915,Nantucket County,1
234911,Nantucket County,1
234910,Nantucket County,1
234909,Nantucket County,1
234908,Nantucket County,1
234907,Nantucket County,1
234896,Nantucket County,1
234895,Nantucket County,1
234906,Nantucket County,1
234905,Nantucket County,1
234904,Nantucket County,1
234903,Nantucket County,1
234902,Nantucket County,1
234901,Nantucket County,1
234900,Nantucket County,1
234899,Nantucket County,1
234898,Nantucket County,1
234897,Nantucket County,1
234946,Nantucket County,1
233133,Barnstable County,0
