,county_name,deaths
339570,Atlantic County,0
339601,Atlantic County,1
339541,Atlantic County,0
339610,Atlantic County,8
339662,Atlantic County,164
339611,Atlantic County,11
339692,Atlantic County,220
339620,Atlantic County,22
339627,Atlantic County,41
339626,Atlantic County,37
339625,Atlantic County,35
339624,Atlantic County,30
339623,Atlantic County,29
339622,Atlantic County,29
339621,Atlantic County,29
339619,Atlantic County,22
339618,Atlantic County,22
339617,Atlantic County,19
339616,Atlantic County,19
339615,Atlantic County,19
339614,Atlantic County,17
339613,Atlantic County,13
339612,Atlantic County,13
339631,Atlantic County,51
339946,Burlington County,0
339917,Burlington County,0
340038,Burlington County,307
340007,Burlington County,149
339986,Burlington County,23
339977,Burlington County,10
339987,Burlington County,28
339988,Burlington County,45
339989,Burlington County,52
339990,Burlington County,54
340003,Burlington County,130
340002,Burlington County,117
340001,Burlington County,106
340000,Burlington County,98
339999,Burlington County,94
339998,Burlington County,88
339997,Burlington County,81
339996,Burlington County,66
339995,Burlington County,66
339994,Burlington County,66
339993,Burlington County,61
339992,Burlington County,58
339991,Burlington County,57
339758,Bergen County,0
339798,Bergen County,453
339789,Bergen County,179
339729,Bergen County,0
339799,Bergen County,550
339800,Bergen County,608
339801,Bergen County,668
339880,Bergen County,2003
339850,Bergen County,1603
339802,Bergen County,714
339811,Bergen County,955
339819,Bergen County,1215
339815,Bergen County,1136
339814,Bergen County,1057
339813,Bergen County,1002
339812,Bergen County,960
339810,Bergen County,954
339809,Bergen County,934
339808,Bergen County,835
339807,Bergen County,835
339806,Bergen County,835
339805,Bergen County,787
339804,Bergen County,767
339803,Bergen County,741
343391,Warren County,87
343387,Warren County,82
343386,Warren County,81
343385,Warren County,71
343384,Warren County,67
343422,Warren County,132
343383,Warren County,65
343382,Warren County,63
343381,Warren County,61
343380,Warren County,48
343361,Warren County,6
343370,Warren County,22
343371,Warren County,25
343372,Warren County,30
343373,Warren County,33
343374,Warren County,36
343375,Warren County,39
343376,Warren County,44
343377,Warren County,47
343378,Warren County,48
343379,Warren County,48
343452,Warren County,161
342925,Sussex County,0
342888,Somerset County,529
342985,Sussex County,9
342997,Sussex County,43
343003,Sussex County,69
343002,Sussex County,69
343001,Sussex County,64
343000,Sussex County,62
342999,Sussex County,55
342998,Sussex County,54
342996,Sussex County,41
342995,Sussex County,39
342994,Sussex County,35
342954,Sussex County,0
342858,Somerset County,423
342766,Somerset County,0
342737,Somerset County,0
342827,Somerset County,298
342823,Somerset County,270
342822,Somerset County,252
342821,Somerset County,242
342820,Somerset County,227
342819,Somerset County,223
342818,Somerset County,219
342797,Somerset County,24
342817,Somerset County,198
342806,Somerset County,79
342807,Somerset County,91
342808,Somerset County,101
342809,Somerset County,121
342810,Somerset County,135
342811,Somerset County,146
342812,Somerset County,158
342813,Somerset County,170
342814,Somerset County,176
342815,Somerset County,176
342816,Somerset County,176
343004,Sussex County,69
343005,Sussex County,84
343006,Sussex County,91
343234,Union County,1088
343183,Union County,238
343189,Union County,387
343188,Union County,372
343187,Union County,356
343186,Union County,330
343185,Union County,301
343184,Union County,269
343182,Union County,209
343190,Union County,427
343191,Union County,427
343192,Union County,427
343193,Union County,542
343194,Union County,563
343195,Union County,571
343196,Union County,583
343197,Union County,627
343198,Union County,653
343199,Union County,690
343203,Union County,737
343301,Warren County,0
343330,Warren County,0
343264,Union County,1327
343173,Union County,66
343007,Sussex County,92
343076,Sussex County,193
343046,Sussex County,149
343015,Sussex County,116
343011,Sussex County,103
343010,Sussex County,99
343009,Sussex County,97
343008,Sussex County,93
343142,Union County,0
343113,Union County,0
340927,Gloucester County,11
340926,Gloucester County,9
340929,Gloucester County,18
340917,Gloucester County,3
340928,Gloucester County,14
340930,Gloucester County,22
340939,Gloucester County,31
340943,Gloucester County,46
340942,Gloucester County,40
340941,Gloucester County,38
340940,Gloucester County,33
340938,Gloucester County,30
340931,Gloucester County,23
340937,Gloucester County,30
340936,Gloucester County,27
