,county_name,deaths
360597,Ulster County,0
360560,Tompkins County,0
360530,Tompkins County,0
360673,Ulster County,16
360680,Ulster County,20
360679,Ulster County,19
360678,Ulster County,19
360677,Ulster County,19
360676,Ulster County,19
360675,Ulster County,19
360674,Ulster County,17
360672,Ulster County,16
360682,Ulster County,23
360671,Ulster County,14
360670,Ulster County,14
360669,Ulster County,14
360668,Ulster County,14
360667,Ulster County,13
360666,Ulster County,12
360681,Ulster County,21
360683,Ulster County,24
360687,Ulster County,30
360626,Ulster County,0
360657,Ulster County,4
360409,Tompkins County,0
360372,Tioga County,19
360342,Tioga County,17
360485,Tompkins County,0
360492,Tompkins County,0
360491,Tompkins County,0
360490,Tompkins County,0
360489,Tompkins County,0
360488,Tompkins County,0
360487,Tompkins County,0
360486,Tompkins County,0
360484,Tompkins County,0
360483,Tompkins County,0
360482,Tompkins County,0
360481,Tompkins County,0
360480,Tompkins County,0
360479,Tompkins County,0
360478,Tompkins County,0
360493,Tompkins County,0
360494,Tompkins County,0
360495,Tompkins County,0
360499,Tompkins County,0
360438,Tompkins County,0
360469,Tompkins County,0
360936,Warren County,30
360868,Warren County,7
360973,Washington County,0
360875,Warren County,10
360871,Warren County,8
360870,Warren County,8
360906,Warren County,30
361033,Washington County,1
361042,Washington County,2
361043,Washington County,3
361044,Washington County,3
361059,Washington County,3
361058,Washington County,3
361057,Washington County,3
361056,Washington County,3
361055,Washington County,3
361054,Washington County,3
361053,Washington County,3
361052,Washington County,3
361051,Washington County,3
361050,Washington County,3
361049,Washington County,3
361048,Washington County,3
361047,Washington County,3
361046,Washington County,3
361045,Washington County,3
361002,Washington County,0
360869,Warren County,7
360867,Warren County,7
360748,Ulster County,81
360866,Warren County,5
360785,Warren County,0
360718,Ulster County,80
360845,Warren County,1
360865,Warren County,5
360864,Warren County,5
360863,Warren County,4
360862,Warren County,4
360861,Warren County,4
360860,Warren County,4
360859,Warren County,4
360858,Warren County,4
360857,Warren County,4
360856,Warren County,3
360855,Warren County,1
360854,Warren County,1
360814,Warren County,0
359808,Steuben County,29
359845,Suffolk County,0
359778,Steuben County,29
359914,Suffolk County,568
359921,Suffolk County,859
359920,Suffolk County,825
359919,Suffolk County,693
359918,Suffolk County,693
359917,Suffolk County,693
359916,Suffolk County,653
359915,Suffolk County,608
359922,Suffolk County,888
359923,Suffolk County,926
359924,Suffolk County,959
359925,Suffolk County,993
359935,Suffolk County,1273
359931,Suffolk County,1177
359930,Suffolk County,1155
359929,Suffolk County,1131
359928,Suffolk County,1102
359927,Suffolk County,1070
359926,Suffolk County,1042
359905,Suffolk County,175
359874,Suffolk County,0
359657,Steuben County,0
359590,Seneca County,1
359620,Seneca County,1
359729,Steuben County,9
359728,Steuben County,9
359727,Steuben County,5
359726,Steuben County,5
359717,Steuben County,1
359730,Steuben County,9
359731,Steuben County,9
359732,Steuben County,12
359733,Steuben County,15
359747,Steuben County,19
359743,Steuben County,19
359742,Steuben County,18
359741,Steuben County,18
359740,Steuben County,17
359739,Steuben County,17
359738,Steuben County,17
359737,Steuben County,17
359736,Steuben County,16
359735,Steuben County,15
359734,Steuben County,15
359686,Steuben County,0
360184,Sullivan County,35
360123,Sullivan County,16
360154,Sullivan County,33
360291,Tioga County,0
360290,Tioga County,0
360281,Tioga County,0
360292,Tioga County,0
360293,Tioga County,0
360294,Tioga County,0
360295,Tioga County,0
360311,Tioga County,8
360307,Tioga County,6
360306,Tioga County,5
360305,Tioga County,4
360304,Tioga County,3
360303,Tioga County,3
360302,Tioga County,3
360301,Tioga County,2
360300,Tioga County,2
360299,Tioga County,2
360298,Tioga County,2
360297,Tioga County,1
360296,Tioga County,1
360250,Tioga County,0
360221,Tioga County,0
359996,Suffolk County,1983
360119,Sullivan County,15
360033,Sullivan County,0
359966,Suffolk County,1916
360093,Sullivan County,5
360102,Sullivan County,7
360103,Sullivan County,7
360118,Sullivan County,15
360117,Sullivan County,15
360116,Sullivan County,14
360115,Sullivan County,13
360114,Sullivan County,11
360113,Sullivan County,9
360112,Sullivan County,9
360111,Sullivan County,9
360110,Sullivan County,9
360109,Sullivan County,9
360108,Sullivan County,8
360107,Sullivan County,7
360106,Sullivan County,7
360105,Sullivan County,7
360104,Sullivan County,7
360062,Sullivan County,0
361063,Washington County,5
361846,Yates County,6
361876,Yates County,6
361798,Yates County,0
361805,Yates County,1
361804,Yates County,1
361803,Yates County,1
361802,Yates County,0
361801,Yates County,0
361800,Yates County,0
361799,Yates County,0
361797,Yates County,0
361796,Yates County,0
361795,Yates County,0
361794,Yates County,0
361806,Yates County,1
361807,Yates County,1
361808,Yates County,1
361809,Yates County,1
361815,Yates County,1
361811,Yates County,1
361810,Yates County,1
361282,Wayne County,2
361235,Wayne County,1
361242,Wayne County,1
361241,Wayne County,1
361240,Wayne County,1
361239,Wayne County,1
361238,Wayne County,1
361237,Wayne County,1
361236,Wayne County,1
361234,Wayne County,1
361233,Wayne County,1
361232,Wayne County,1
361231,Wayne County,0
361230,Wayne County,0
361243,Wayne County,1
361244,Wayne County,1
361245,Wayne County,1
361246,Wayne County,1
361251,Wayne County,1
361247,Wayne County,1
361312,Wayne County,2
361378,Westchester County,0
361409,Westchester County,197
361349,Westchester County,0
361124,Washington County,14
361094,Washington County,14
361190,Wayne County,0
361221,Wayne County,0
361161,Wayne County,0
361658,Wyoming County,5
361688,Wyoming County,5
361611,Wyoming County,4
361618,Wyoming County,5
361617,Wyoming County,5
361616,Wyoming County,5
361615,Wyoming County,5
361614,Wyoming County,4
361613,Wyoming County,4
361612,Wyoming County,4
361610,Wyoming County,4
361609,Wyoming County,4
361608,Wyoming County,4
361607,Wyoming County,4
361606,Wyoming County,4
361619,Wyoming County,5
361620,Wyoming County,5
361621,Wyoming County,5
361622,Wyoming County,5
361627,Wyoming County,5
361623,Wyoming County,5
361754,Yates County,0
361785,Yates County,0
361725,Yates County,0
361470,Westchester County,1385
361424,Westchester County,743
361431,Westchester County,946
361430,Westchester County,920
361429,Westchester County,891
361428,Westchester County,863
361427,Westchester County,838
361426,Westchester County,809
361425,Westchester County,776
361423,Westchester County,668
361422,Westchester County,668
361421,Westchester County,668
361420,Westchester County,640
361419,Westchester County,596
361418,Westchester County,557
361432,Westchester County,962
361433,Westchester County,963
361434,Westchester County,1006
361435,Westchester County,1031
361439,Westchester County,1101
361566,Wyoming County,0
361597,Wyoming County,1
361500,Westchester County,1425
361537,Wyoming County,0
352039,Clinton County,4
352027,Clinton County,3
352035,Clinton County,4
352034,Clinton County,4
352033,Clinton County,4
352032,Clinton County,4
352031,Clinton County,4
352030,Clinton County,4
352029,Clinton County,4
352070,Clinton County,4
352028,Clinton County,4
352026,Clinton County,3
352025,Clinton County,3
352009,Clinton County,0
352024,Clinton County,3
352023,Clinton County,3
352022,Clinton County,3
352021,Clinton County,3
352020,Clinton County,3
352019,Clinton County,3
352018,Clinton County,3
352137,Columbia County,0
352166,Columbia County,0
352100,Clinton County,4
351834,Chenango County,0
351841,Chenango County,0
351840,Chenango County,0
351839,Chenango County,0
351838,Chenango County,0
351837,Chenango County,0
351836,Chenango County,0
351835,Chenango County,0
351833,Chenango County,0
351832,Chenango County,0
351831,Chenango County,0
351830,Chenango County,0
351842,Chenango County,0
351843,Chenango County,0
351844,Chenango County,0
351845,Chenango County,0
351851,Chenango County,1
351847,Chenango County,0
351846,Chenango County,0
351821,Chenango County,0
351790,Chenango County,0
351949,Clinton County,0
351978,Clinton County,0
351882,Chenango County,5
351912,Chenango County,6
352397,Cortland County,1
352404,Cortland County,1
352403,Cortland County,1
352402,Cortland County,1
352401,Cortland County,1
352400,Cortland County,1
352399,Cortland County,1
352398,Cortland County,1
352395,Cortland County,1
352394,Cortland County,1
352405,Cortland County,1
352406,Cortland County,1
352407,Cortland County,1
352408,Cortland County,1
352415,Cortland County,1
352411,Cortland County,1
352410,Cortland County,1
352409,Cortland County,1
352385,Cortland County,0
352354,Cortland County,0
352446,Cortland County,1
352513,Delaware County,0
352476,Cortland County,1
352222,Columbia County,16
352227,Columbia County,16
352223,Columbia County,16
352221,Columbia County,16
352220,Columbia County,16
352219,Columbia County,16
352218,Columbia County,16
352217,Columbia County,16
352216,Columbia County,14
352215,Columbia County,14
352214,Columbia County,14
352213,Columbia County,13
352212,Columbia County,13
352211,Columbia County,12
352210,Columbia County,12
352209,Columbia County,12
352208,Columbia County,10
352207,Columbia County,9
352206,Columbia County,8
352197,Columbia County,3
352325,Cortland County,0
352288,Columbia County,47
352258,Columbia County,41
351283,Cayuga County,2
351287,Cayuga County,2
351318,Cayuga County,2
351282,Cayuga County,2
351761,Chenango County,0
351257,Cayuga County,0
351281,Cayuga County,2
351280,Cayuga County,2
351279,Cayuga County,2
351278,Cayuga County,2
351277,Cayuga County,2
351276,Cayuga County,1
351275,Cayuga County,1
351274,Cayuga County,1
351273,Cayuga County,1
351272,Cayuga County,1
351271,Cayuga County,1
351270,Cayuga County,1
351269,Cayuga County,1
351268,Cayuga County,1
351267,Cayuga County,1
351266,Cayuga County,1
351385,Chautauqua County,0
351348,Cayuga County,2
351130,Cattaraugus County,4
351090,Cattaraugus County,2
351088,Cattaraugus County,0
351087,Cattaraugus County,0
351086,Cattaraugus County,0
351085,Cattaraugus County,0
351084,Cattaraugus County,0
351083,Cattaraugus County,0
351082,Cattaraugus County,0
351081,Cattaraugus County,0
351080,Cattaraugus County,0
351079,Cattaraugus County,0
351078,Cattaraugus County,0
351089,Cattaraugus County,1
351091,Cattaraugus County,2
351092,Cattaraugus County,2
351099,Cattaraugus County,2
351095,Cattaraugus County,2
351094,Cattaraugus County,2
351093,Cattaraugus County,2
351226,Cayuga County,0
351197,Cayuga County,0
351160,Cattaraugus County,6
351648,Chemung County,2
351647,Chemung County,2
351646,Chemung County,2
351645,Chemung County,2
351644,Chemung County,2
351643,Chemung County,2
351642,Chemung County,2
351633,Chemung County,0
351649,Chemung County,2
