,date,state,fips,cases,deaths,month
5671,2020-06-13,Utah,49,14061,139,6
5699,2020-06-14,Maine,23,2793,100,6
5708,2020-06-14,Nevada,32,11199,464,6
5707,2020-06-14,Nebraska,31,16735,221,6
5706,2020-06-14,Montana,30,601,19,6
5705,2020-06-14,Missouri,29,16384,890,6
5704,2020-06-14,Mississippi,28,19516,891,6
5703,2020-06-14,Minnesota,27,30502,1329,6
5702,2020-06-14,Michigan,26,66246,6020,6
5701,2020-06-14,Massachusetts,25,105603,7624,6
5700,2020-06-14,Maryland,24,62328,2939,6
5653,2020-06-13,Nevada,32,10992,463,6
5654,2020-06-13,New Hampshire,33,5299,318,6
5655,2020-06-13,New Jersey,34,166605,12589,6
5656,2020-06-13,New Mexico,35,9621,431,6
5657,2020-06-13,New York,36,387402,30565,6
5658,2020-06-13,North Carolina,37,42911,1135,6
5709,2020-06-14,New Hampshire,33,5318,320,6
5710,2020-06-14,New Jersey,34,166881,12625,6
5711,2020-06-14,New Mexico,35,9723,435,6
5720,2020-06-14,Puerto Rico,72,5811,147,6
5650,2020-06-13,Missouri,29,16327,890,6
5651,2020-06-13,Montana,30,588,18,6
5652,2020-06-13,Nebraska,31,16634,221,6
5723,2020-06-14,South Dakota,46,5898,75,6
5722,2020-06-14,South Carolina,45,18796,600,6
5721,2020-06-14,Rhode Island,44,15947,833,6
5719,2020-06-14,Pennsylvania,42,83301,6275,6
5712,2020-06-14,New York,36,388096,30605,6
5718,2020-06-14,Oregon,41,5644,176,6
5717,2020-06-14,Oklahoma,40,8231,359,6
5716,2020-06-14,Ohio,39,41148,2557,6
5715,2020-06-14,Northern Mariana Islands,69,30,2,6
5714,2020-06-14,North Dakota,38,3083,77,6
5713,2020-06-14,North Carolina,37,44199,1139,6
5659,2020-06-13,North Dakota,38,3061,77,6
5698,2020-06-14,Louisiana,22,46732,3014,6
5670,2020-06-13,Texas,48,88120,1989,6
5697,2020-06-14,Kentucky,21,12652,527,6
5678,2020-06-13,Wyoming,56,1050,18,6
5677,2020-06-13,Wisconsin,55,25026,700,6
5676,2020-06-13,West Virginia,54,2274,88,6
5675,2020-06-13,Washington,53,26920,1216,6
5661,2020-06-13,Ohio,39,40848,2554,6
5673,2020-06-13,Virgin Islands,78,72,6,6
5672,2020-06-13,Vermont,50,1125,55,6
5662,2020-06-13,Oklahoma,40,8073,359,6
5663,2020-06-13,Oregon,41,5543,175,6
5664,2020-06-13,Pennsylvania,42,82988,6264,6
5665,2020-06-13,Puerto Rico,72,5690,146,6
5666,2020-06-13,Rhode Island,44,15947,833,6
5667,2020-06-13,South Carolina,45,17955,599,6
5668,2020-06-13,South Dakota,46,5833,75,6
5669,2020-06-13,Tennessee,47,29616,465,6
5679,2020-06-14,Alabama,1,25615,773,6
5680,2020-06-14,Alaska,2,734,10,6
5681,2020-06-14,Arizona,4,35953,1194,6
5690,2020-06-14,Guam,66,1154,6,6
5696,2020-06-14,Kansas,20,11247,244,6
5695,2020-06-14,Iowa,19,23959,652,6
5694,2020-06-14,Indiana,18,40901,2422,6
5693,2020-06-14,Illinois,17,133719,6512,6
5692,2020-06-14,Idaho,16,3413,88,6
5691,2020-06-14,Hawaii,15,716,17,6
5689,2020-06-14,Georgia,13,54874,2416,6
5682,2020-06-14,Arkansas,5,12501,179,6
5688,2020-06-14,Florida,12,75560,2930,6
5660,2020-06-13,Northern Mariana Islands,69,30,2,6
5686,2020-06-14,Delaware,10,10264,422,6
5685,2020-06-14,Connecticut,9,45088,4201,6
5684,2020-06-14,Colorado,8,29115,1599,6
5683,2020-06-14,California,6,152953,5089,6
5687,2020-06-14,District of Columbia,11,9767,515,6
3544,2020-06-05,Georgia,13,29724,1309,6
5648,2020-06-13,Minnesota,27,30203,1314,6
5782,2020-06-15,Vermont,50,1130,55,6
5791,2020-06-16,Arizona,4,39298,1228,6
5790,2020-06-16,Alaska,2,751,10,6
5789,2020-06-16,Alabama,1,26912,785,6
5788,2020-06-15,Wyoming,56,1079,18,6
5787,2020-06-15,Wisconsin,55,25530,703,6
5786,2020-06-15,West Virginia,54,2322,88,6
5785,2020-06-15,Washington,53,27577,1223,6
