,county_name,deaths
235203,Plymouth County,0
235154,Norfolk County,923
235153,Norfolk County,919
235152,Norfolk County,914
235151,Norfolk County,912
235150,Norfolk County,908
235149,Norfolk County,907
235148,Norfolk County,905
235147,Norfolk County,903
235146,Norfolk County,891
235145,Norfolk County,890
235144,Norfolk County,888
235143,Norfolk County,882
235155,Norfolk County,923
235156,Norfolk County,923
235157,Norfolk County,923
235158,Norfolk County,923
235166,Norfolk County,940
235160,Norfolk County,923
235159,Norfolk County,923
235332,Plymouth County,621
235336,Plymouth County,636
235335,Plymouth County,631
235334,Plymouth County,629
235333,Plymouth County,626
235331,Plymouth County,621
235337,Plymouth County,640
235338,Plymouth County,641
235339,Plymouth County,643
235354,Plymouth County,668
235348,Plymouth County,663
235347,Plymouth County,663
235346,Plymouth County,663
235345,Plymouth County,660
235344,Plymouth County,658
235343,Plymouth County,654
235342,Plymouth County,651
235341,Plymouth County,647
235340,Plymouth County,646
235232,Plymouth County,0
235263,Plymouth County,13
235324,Plymouth County,588
235293,Plymouth County,357
234962,Nantucket County,1
234961,Nantucket County,1
234960,Nantucket County,1
234959,Nantucket County,1
234958,Nantucket County,1
234957,Nantucket County,1
234956,Nantucket County,1
234955,Nantucket County,1
234948,Nantucket County,1
234917,Nantucket County,1
234827,Nantucket County,0
234887,Nantucket County,1
234856,Nantucket County,0
235075,Norfolk County,29
235136,Norfolk County,859
235105,Norfolk County,596
234963,Nantucket County,1
234966,Nantucket County,1
234972,Nantucket County,1
234971,Nantucket County,1
234970,Nantucket County,1
234969,Nantucket County,1
234968,Nantucket County,1
234967,Nantucket County,1
234965,Nantucket County,1
234964,Nantucket County,1
234978,Nantucket County,1
235044,Norfolk County,0
235015,Norfolk County,0
235722,Worcester County,920
235730,Worcester County,942
235724,Worcester County,920
235723,Worcester County,920
235721,Worcester County,920
235700,Worcester County,820
235720,Worcester County,920
235719,Worcester County,917
235718,Worcester County,914
235717,Worcester County,905
235716,Worcester County,903
235715,Worcester County,900
235714,Worcester County,897
235713,Worcester County,893
235712,Worcester County,889
235711,Worcester County,888
235710,Worcester County,877
235709,Worcester County,871
235708,Worcester County,870
235707,Worcester County,863
235481,Suffolk County,642
235451,Suffolk County,33
235420,Suffolk County,0
235512,Suffolk County,923
235520,Suffolk County,950
235391,Suffolk County,0
235519,Suffolk County,943
235669,Worcester County,365
235579,Worcester County,0
235608,Worcester County,0
235639,Worcester County,18
235523,Suffolk County,959
235531,Suffolk County,990
235530,Suffolk County,984
235529,Suffolk County,976
235528,Suffolk County,976
235527,Suffolk County,976
235526,Suffolk County,973
235525,Suffolk County,971
235524,Suffolk County,963
235522,Suffolk County,952
235521,Suffolk County,951
235532,Suffolk County,997
235533,Suffolk County,1002
235534,Suffolk County,1002
235535,Suffolk County,1002
235542,Suffolk County,1008
235536,Suffolk County,1002
234029,Essex County,1096
234038,Essex County,1122
234032,Essex County,1104
234031,Essex County,1104
234075,Franklin County,0
234030,Essex County,1099
234028,Essex County,1092
234016,Essex County,1046
234015,Essex County,1041
234008,Essex County,998
233977,Essex County,561
233947,Essex County,30
234017,Essex County,1051
234018,Essex County,1052
234019,Essex County,1057
234027,Essex County,1086
234026,Essex County,1083
234025,Essex County,1081
234024,Essex County,1077
234023,Essex County,1076
234022,Essex County,1071
234021,Essex County,1065
234020,Essex County,1063
234104,Franklin County,0
233916,Essex County,0
234205,Franklin County,51
234204,Franklin County,51
234203,Franklin County,50
234196,Franklin County,48
234206,Franklin County,51
234207,Franklin County,52
234208,Franklin County,52
234209,Franklin County,52
234226,Franklin County,55
234220,Franklin County,54
234219,Franklin County,54
234218,Franklin County,54
234217,Franklin County,54
234216,Franklin County,54
234215,Franklin County,54
234214,Franklin County,53
234213,Franklin County,53
234212,Franklin County,53
234211,Franklin County,53
234210,Franklin County,53
234135,Franklin County,13
234165,Franklin County,38
233820,Dukes County,0
233789,Dukes County,0
233830,Dukes County,0
233829,Dukes County,0
233828,Dukes County,0
233827,Dukes County,0
233759,Dukes County,0
233662,Bristol County,592
233656,Bristol County,574
233728,Dukes County,0
233699,Dukes County,0
233887,Essex County,0
233838,Dukes County,0
233837,Dukes County,0
233836,Dukes County,0
233835,Dukes County,0
233834,Dukes County,0
233833,Dukes County,0
233832,Dukes County,0
233831,Dukes County,0
233839,Dukes County,0
233840,Dukes County,0
233850,Dukes County,0
233844,Dukes County,0
233843,Dukes County,0
233842,Dukes County,0
233841,Dukes County,0
233654,Bristol County,568
234583,Hampshire County,105
234584,Hampshire County,106
234582,Hampshire County,103
234572,Hampshire County,95
234581,Hampshire County,103
234580,Hampshire County,103
234579,Hampshire County,103
234585,Hampshire County,106
234602,Hampshire County,116
234596,Hampshire County,110
234595,Hampshire County,110
234594,Hampshire County,110
234593,Hampshire County,110
234592,Hampshire County,109
234591,Hampshire County,109
234590,Hampshire County,108
234589,Hampshire County,107
234588,Hampshire County,107
234587,Hampshire County,107
234586,Hampshire County,106
234480,Hampshire County,0
234451,Hampshire County,0
234541,Hampshire County,47
234511,Hampshire County,4
234770,Middlesex County,1765
234775,Middlesex County,1807
234774,Middlesex County,1801
234773,Middlesex County,1791
234772,Middlesex County,1788
234771,Middlesex County,1781
234769,Middlesex County,1763
234768,Middlesex County,1756
234767,Middlesex County,1748
234776,Middlesex County,1809
234777,Middlesex County,1812
234778,Middlesex County,1820
234790,Middlesex County,1882
234784,Middlesex County,1851
234783,Middlesex County,1851
234782,Middlesex County,1851
234781,Middlesex County,1849
234780,Middlesex County,1839
234779,Middlesex County,1825
234760,Middlesex County,1701
234639,Middlesex County,0
234668,Middlesex County,0
234729,Middlesex County,1070
234699,Middlesex County,48
234323,Hampden County,39
234292,Hampden County,0
234353,Hampden County,425
234263,Hampden County,0
234394,Hampden County,642
234400,Hampden County,647
234399,Hampden County,647
234398,Hampden County,647
234397,Hampden County,647
234396,Hampden County,646
234395,Hampden County,645
234393,Hampden County,640
234392,Hampden County,640
234391,Hampden County,637
234384,Hampden County,618
234401,Hampden County,649
234402,Hampden County,654
234403,Hampden County,654
234404,Hampden County,655
234414,Hampden County,670
234408,Hampden County,655
234407,Hampden County,655
234406,Hampden County,655
234405,Hampden County,655
233655,Bristol County,575
233474,Berkshire County,45
233468,Berkshire County,44
233467,Berkshire County,44
233466,Berkshire County,44
233465,Berkshire County,44
233464,Berkshire County,44
233463,Berkshire County,44
233462,Berkshire County,44
233383,Berkshire County,13
233413,Berkshire County,37
233444,Berkshire County,40
233461,Berkshire County,44
233460,Berkshire County,44
233459,Berkshire County,44
233458,Berkshire County,44
233457,Berkshire County,44
233456,Berkshire County,42
233455,Berkshire County,42
233454,Berkshire County,42
233453,Berkshire County,42
233452,Berkshire County,42
233451,Berkshire County,42
233601,Bristol County,223
233653,Bristol County,567
233652,Bristol County,565
233651,Bristol County,558
233650,Bristol County,555
233649,Bristol County,548
233648,Bristol County,546
233647,Bristol County,542
233646,Bristol County,539
233645,Bristol County,537
233644,Bristol County,534
233643,Bristol County,528
233642,Bristol County,520
233641,Bristol County,518
233640,Bristol County,516
233639,Bristol County,507
233632,Bristol County,467
233511,Bristol County,0
233571,Bristol County,8
233540,Bristol County,0
233195,Barnstable County,7
233164,Barnstable County,0
233225,Barnstable County,55
