,county_name,deaths
341929,Monmouth County,678
340167,Camden County,8
340136,Camden County,0
340197,Camden County,189
340228,Camden County,364
340258,Camden County,525
340251,Camden County,485
340250,Camden County,483
340249,Camden County,480
340248,Camden County,431
340247,Camden County,427
340246,Camden County,425
340245,Camden County,421
340244,Camden County,417
340243,Camden County,416
340242,Camden County,416
340241,Camden County,415
340240,Camden County,415
340239,Camden County,415
340238,Camden County,415
340237,Camden County,415
340236,Camden County,407
340235,Camden County,405
340058,Burlington County,373
340057,Burlington County,372
340056,Burlington County,372
340055,Burlington County,371
340054,Burlington County,370
340053,Burlington County,370
340052,Burlington County,367
340051,Burlington County,364
340050,Burlington County,364
340049,Burlington County,364
340048,Burlington County,363
340047,Burlington County,356
340040,Burlington County,314
340059,Burlington County,376
340060,Burlington County,376
340061,Burlington County,416
340107,Camden County,0
340062,Burlington County,419
340070,Burlington County,434
340064,Burlington County,424
340063,Burlington County,421
340252,Camden County,489
340626,Cumberland County,141
343246,Union County,1130
343248,Union County,1131
343249,Union County,1131
343250,Union County,1135
340512,Cumberland County,0
340483,Cumberland County,0
343251,Union County,1135
343252,Union County,1138
343253,Union County,1139
343254,Union County,1140
343255,Union County,1141
343256,Union County,1143
343257,Union County,1324
343258,Union County,1325
343259,Union County,1325
343260,Union County,1326
343266,Union County,1328
343303,Warren County,0
343332,Warren County,0
343363,Warren County,7
340446,Cape May County,74
343393,Warren County,94
340440,Cape May County,73
343247,Union County,1131
343245,Union County,1128
340543,Cumberland County,2
340624,Cumberland County,128
340623,Cumberland County,126
340622,Cumberland County,126
340621,Cumberland County,126
340620,Cumberland County,124
340619,Cumberland County,124
340618,Cumberland County,123
340617,Cumberland County,119
340616,Cumberland County,118
340615,Cumberland County,118
340614,Cumberland County,114
340613,Cumberland County,108
340612,Cumberland County,107
340611,Cumberland County,107
343236,Union County,1095
340604,Cumberland County,90
340573,Cumberland County,25
343243,Union County,1121
343244,Union County,1126
340439,Cape May County,68
340438,Cape May County,68
340437,Cape May County,68
340436,Cape May County,64
343443,Warren County,144
340355,Cape May County,2
343444,Warren County,144
343445,Warren County,156
343446,Warren County,156
343447,Warren County,156
343448,Warren County,158
340324,Cape May County,0
343454,Warren County,162
340295,Cape May County,0
343442,Warren County,144
343441,Warren County,144
343440,Warren County,142
340424,Cape May County,59
340435,Cape May County,63
340434,Cape May County,63
340433,Cape May County,63
340432,Cape May County,62
340431,Cape May County,62
340430,Cape May County,62
340429,Cape May County,62
340428,Cape May County,62
340427,Cape May County,61
340426,Cape May County,61
340425,Cape May County,61
340423,Cape May County,58
343439,Warren County,142
343424,Warren County,132
343431,Warren County,138
340416,Cape May County,50
343432,Warren County,138
343433,Warren County,138
343434,Warren County,139
343435,Warren County,139
343436,Warren County,139
343437,Warren County,141
340385,Cape May County,28
343438,Warren County,142
339633,Atlantic County,54
339603,Atlantic County,1
339572,Atlantic County,0
339543,Atlantic County,0
340009,Burlington County,177
339694,Atlantic County,221
339688,Atlantic County,216
339687,Atlantic County,214
339686,Atlantic County,211
339685,Atlantic County,211
339684,Atlantic County,194
339683,Atlantic County,192
339682,Atlantic County,192
339681,Atlantic County,190
339680,Atlantic County,188
339679,Atlantic County,188
339678,Atlantic County,188
339677,Atlantic County,188
339676,Atlantic County,187
339675,Atlantic County,184
339674,Atlantic County,180
339673,Atlantic County,180
339672,Atlantic County,180
339671,Atlantic County,179
339664,Atlantic County,167
339870,Bergen County,1714
339882,Bergen County,2006
339876,Bergen County,1989
339875,Bergen County,1985
339874,Bergen County,1983
339873,Bergen County,1983
339872,Bergen County,1718
339919,Burlington County,0
339979,Burlington County,11
339948,Burlington County,0
339871,Bergen County,1716
339869,Bergen County,1706
339868,Bergen County,1701
339760,Bergen County,0
339731,Bergen County,0
339852,Bergen County,1612
339867,Bergen County,1696
339866,Bergen County,1693
339865,Bergen County,1691
339864,Bergen County,1684
339863,Bergen County,1681
339862,Bergen County,1673
339861,Bergen County,1664
339860,Bergen County,1662
339859,Bergen County,1662
339821,Bergen County,1289
339791,Bergen County,200
340625,Cumberland County,141
340627,Cumberland County,141
342304,Ocean County,817
342305,Ocean County,820
342306,Ocean County,826
341513,Mercer County,298
341483,Mercer County,19
342307,Ocean County,828
341452,Mercer County,0
342308,Ocean County,835
342309,Ocean County,842
342310,Ocean County,845
342311,Ocean County,847
342312,Ocean County,850
342313,Ocean County,860
341423,Mercer County,0
342314,Ocean County,866
342315,Ocean County,868
342316,Ocean County,872
342317,Ocean County,941
342318,Ocean County,944
342319,Ocean County,946
342320,Ocean County,955
342326,Ocean County,974
342303,Ocean County,813
341544,Mercer County,500
342296,Ocean County,767
342235,Ocean County,71
341574,Mercer County,591
342265,Ocean County,483
341568,Mercer County,577
341567,Mercer County,577
341566,Mercer County,577
341565,Mercer County,577
341564,Mercer County,539
341563,Mercer County,535
341562,Mercer County,535
341561,Mercer County,530
341560,Mercer County,524
341559,Mercer County,524
341558,Mercer County,524
341557,Mercer County,524
341556,Mercer County,524
341555,Mercer County,523
341554,Mercer County,522
341553,Mercer County,517
341552,Mercer County,517
341551,Mercer County,517
342363,Passaic County,0
341365,Hunterdon County,66
342491,Passaic County,997
342492,Passaic County,999
341364,Hunterdon County,66
341363,Hunterdon County,66
342493,Passaic County,1001
342494,Passaic County,1006
342495,Passaic County,1007
342496,Passaic County,1009
342497,Passaic County,1013
342498,Passaic County,1013
341356,Hunterdon County,63
342499,Passaic County,1014
342500,Passaic County,1015
342501,Passaic County,1019
342502,Passaic County,1025
342503,Passaic County,1025
342504,Passaic County,1029
341325,Hunterdon County,39
342505,Passaic County,1180
342506,Passaic County,1181
342507,Passaic County,1183
341366,Hunterdon County,66
341367,Hunterdon County,67
341368,Hunterdon County,67
341386,Hunterdon County,124
342392,Passaic County,0
342423,Passaic County,53
342453,Passaic County,690
342484,Passaic County,969
341380,Hunterdon County,124
341369,Hunterdon County,67
341379,Hunterdon County,123
341378,Hunterdon County,123
341377,Hunterdon County,122
341376,Hunterdon County,67
341375,Hunterdon County,67
341374,Hunterdon County,67
341373,Hunterdon County,67
341372,Hunterdon County,67
341371,Hunterdon County,67
341370,Hunterdon County,67
342204,Ocean County,0
342175,Ocean County,0
340628,Cumberland County,143
341828,Monmouth County,0
