,county_name,deaths
351343,Cayuga County,2
351350,Cayuga County,2
351387,Chautauqua County,0
351416,Chautauqua County,0
351447,Chautauqua County,1
351344,Cayuga County,2
351341,Cayuga County,2
351342,Cayuga County,2
351477,Chautauqua County,2
351525,Chautauqua County,3
351526,Chautauqua County,3
351527,Chautauqua County,3
351528,Chautauqua County,3
351529,Chautauqua County,3
351530,Chautauqua County,3
351531,Chautauqua County,3
351532,Chautauqua County,3
351538,Chautauqua County,3
351515,Chautauqua County,3
351508,Chautauqua County,3
351516,Chautauqua County,3
351517,Chautauqua County,3
351518,Chautauqua County,3
351519,Chautauqua County,3
351520,Chautauqua County,3
351521,Chautauqua County,3
351522,Chautauqua County,3
351523,Chautauqua County,3
351524,Chautauqua County,3
351139,Cattaraugus County,6
351141,Cattaraugus County,6
351142,Cattaraugus County,6
351143,Cattaraugus County,6
351144,Cattaraugus County,6
351145,Cattaraugus County,6
351146,Cattaraugus County,6
351147,Cattaraugus County,6
351148,Cattaraugus County,6
351149,Cattaraugus County,6
351150,Cattaraugus County,6
351151,Cattaraugus County,6
351152,Cattaraugus County,6
351153,Cattaraugus County,6
351154,Cattaraugus County,6
351155,Cattaraugus County,6
351156,Cattaraugus County,6
351162,Cattaraugus County,6
351140,Cattaraugus County,6
351340,Cayuga County,2
351132,Cattaraugus County,5
351011,Cattaraugus County,0
351040,Cattaraugus County,0
351071,Cattaraugus County,0
351101,Cattaraugus County,2
351320,Cayuga County,2
351327,Cayuga County,2
351328,Cayuga County,2
351329,Cayuga County,2
351330,Cayuga County,2
351331,Cayuga County,2
351332,Cayuga County,2
351333,Cayuga County,2
351334,Cayuga County,2
351335,Cayuga County,2
351336,Cayuga County,2
351337,Cayuga County,2
351338,Cayuga County,2
351339,Cayuga County,2
351199,Cayuga County,0
351228,Cayuga County,0
351259,Cayuga County,0
351289,Cayuga County,2
351907,Chenango County,6
351914,Chenango County,6
351951,Clinton County,0
351980,Clinton County,0
352011,Clinton County,0
352041,Clinton County,4
352072,Clinton County,4
351908,Chenango County,6
351895,Chenango County,6
351896,Chenango County,6
351897,Chenango County,6
351898,Chenango County,6
351899,Chenango County,6
351900,Chenango County,6
351901,Chenango County,6
351902,Chenango County,6
351903,Chenango County,6
351904,Chenango County,6
351905,Chenango County,6
351906,Chenango County,6
352139,Columbia County,0
352168,Columbia County,0
352199,Columbia County,3
352229,Columbia County,21
352102,Clinton County,4
352087,Clinton County,4
352079,Clinton County,4
352080,Clinton County,4
352081,Clinton County,4
352082,Clinton County,4
352083,Clinton County,4
352084,Clinton County,4
352085,Clinton County,4
352086,Clinton County,4
352088,Clinton County,4
352089,Clinton County,4
352090,Clinton County,4
352091,Clinton County,4
352092,Clinton County,4
352093,Clinton County,4
352094,Clinton County,4
352095,Clinton County,4
352096,Clinton County,4
351894,Chenango County,6
351893,Chenango County,6
351717,Chemung County,3
351703,Chemung County,3
351704,Chemung County,3
351705,Chemung County,3
351706,Chemung County,3
351707,Chemung County,3
351708,Chemung County,3
351709,Chemung County,3
351710,Chemung County,3
351711,Chemung County,3
351712,Chemung County,3
351713,Chemung County,3
351714,Chemung County,3
351715,Chemung County,3
351716,Chemung County,3
351575,Chemung County,0
351604,Chemung County,0
351635,Chemung County,0
351665,Chemung County,3
351696,Chemung County,3
351718,Chemung County,3
351892,Chenango County,6
351719,Chemung County,3
351884,Chenango County,5
351891,Chenango County,6
351720,Chemung County,3
351726,Chemung County,3
351853,Chenango County,3
351763,Chenango County,0
351792,Chenango County,0
351823,Chenango County,0
350974,Broome County,59
350380,Albany County,101
350387,Albany County,104
350388,Albany County,105
350389,Albany County,106
350390,Albany County,107
350391,Albany County,108
350392,Albany County,108
350393,Albany County,108
350394,Albany County,108
350395,Albany County,108
350396,Albany County,108
350397,Albany County,108
350398,Albany County,108
350399,Albany County,108
350400,Albany County,108
350401,Albany County,108
350402,Albany County,108
350403,Albany County,108
350404,Albany County,108
350410,Albany County,109
350349,Albany County,63
