,county_name,deaths
235428,Suffolk County,0
235478,Suffolk County,588
235439,Suffolk County,2
235430,Suffolk County,0
235431,Suffolk County,0
235432,Suffolk County,0
235433,Suffolk County,0
235434,Suffolk County,1
235435,Suffolk County,1
235436,Suffolk County,2
235437,Suffolk County,2
235438,Suffolk County,2
235440,Suffolk County,3
235441,Suffolk County,3
235442,Suffolk County,4
235443,Suffolk County,4
235444,Suffolk County,6
235445,Suffolk County,7
235448,Suffolk County,22
235576,Worcester County,0
235509,Suffolk County,908
235539,Suffolk County,1007
235429,Suffolk County,0
235427,Suffolk County,0
235321,Plymouth County,572
235351,Plymouth County,665
235417,Suffolk County,0
235388,Suffolk County,0
235727,Worcester County,935
235625,Worcester County,0
235626,Worcester County,0
235627,Worcester County,2
235623,Worcester County,0
235628,Worcester County,3
235624,Worcester County,0
235622,Worcester County,0
235605,Worcester County,0
235621,Worcester County,0
235615,Worcester County,0
235616,Worcester County,0
235617,Worcester County,0
235618,Worcester County,0
235619,Worcester County,0
235620,Worcester County,0
235697,Worcester County,804
235666,Worcester County,312
235630,Worcester County,5
235629,Worcester County,3
235631,Worcester County,5
235632,Worcester County,5
235633,Worcester County,7
235636,Worcester County,14
233934,Essex County,0
233935,Essex County,0
233936,Essex County,2
233937,Essex County,2
233938,Essex County,3
233939,Essex County,4
233940,Essex County,6
233941,Essex County,12
233944,Essex County,23
233933,Essex County,0
233932,Essex County,0
233931,Essex County,0
233930,Essex County,0
233913,Essex County,0
233923,Essex County,0
233924,Essex County,0
233925,Essex County,0
233926,Essex County,0
233927,Essex County,0
233928,Essex County,0
233929,Essex County,0
234005,Essex County,979
233974,Essex County,499
233847,Dukes County,0
233817,Dukes County,0
233786,Dukes County,0
233884,Essex County,0
234193,Franklin County,47
234300,Hampden County,0
234260,Hampden County,0
234289,Hampden County,0
234299,Hampden County,0
234301,Hampden County,0
234302,Hampden County,0
234303,Hampden County,0
234304,Hampden County,0
234305,Hampden County,0
234306,Hampden County,0
234223,Franklin County,55
