,county_name,deaths
339569,Atlantic County,0
339579,Atlantic County,0
339540,Atlantic County,0
339581,Atlantic County,0
339580,Atlantic County,0
339582,Atlantic County,0
340321,Cape May County,0
340292,Cape May County,0
340255,Camden County,513
340331,Cape May County,0
340332,Cape May County,0
340333,Cape May County,0
340347,Cape May County,0
340334,Cape May County,0
340348,Cape May County,0
340349,Cape May County,0
340352,Cape May County,0
340346,Cape May County,0
340335,Cape May County,0
340336,Cape May County,0
340337,Cape May County,0
340338,Cape May County,0
340339,Cape May County,0
340340,Cape May County,0
340341,Cape May County,0
340342,Cape May County,0
340343,Cape May County,0
340344,Cape May County,0
340345,Cape May County,0
340225,Camden County,346
340144,Camden County,0
340133,Camden County,0
340143,Camden County,0
340145,Camden County,0
340146,Camden County,0
340147,Camden County,0
340148,Camden County,0
340149,Camden County,0
340150,Camden County,0
340151,Camden County,0
340152,Camden County,0
340153,Camden County,0
340104,Camden County,0
340154,Camden County,1
340155,Camden County,1
340161,Camden County,3
340164,Camden County,7
340194,Camden County,163
340156,Camden County,1
340160,Camden County,3
340159,Camden County,1
340157,Camden County,1
340158,Camden County,1
340570,Cumberland County,17
340601,Cumberland County,79
340526,Cumberland County,0
340527,Cumberland County,0
340528,Cumberland County,0
340529,Cumberland County,0
340530,Cumberland County,0
340531,Cumberland County,0
340532,Cumberland County,0
340533,Cumberland County,0
340534,Cumberland County,0
340535,Cumberland County,0
340536,Cumberland County,0
340537,Cumberland County,0
340540,Cumberland County,1
340524,Cumberland County,0
340525,Cumberland County,0
340523,Cumberland County,0
340413,Cape May County,50
340443,Cape May County,74
340382,Cape May County,24
340522,Cumberland County,0
340480,Cumberland County,0
340509,Cumberland County,0
340519,Cumberland County,0
340520,Cumberland County,0
340521,Cumberland County,0
339583,Atlantic County,0
339757,Bergen County,0
339728,Bergen County,0
339780,Bergen County,17
339781,Bergen County,24
339782,Bergen County,32
339783,Bergen County,32
339784,Bergen County,32
339785,Bergen County,45
339788,Bergen County,132
339779,Bergen County,14
339778,Bergen County,14
339777,Bergen County,9
339776,Bergen County,7
339767,Bergen County,1
339768,Bergen County,1
339769,Bergen County,1
339770,Bergen County,2
339771,Bergen County,2
339772,Bergen County,2
339773,Bergen County,3
339774,Bergen County,4
339775,Bergen County,6
339630,Atlantic County,49
339584,Atlantic County,0
339585,Atlantic County,0
339586,Atlantic County,0
339587,Atlantic County,0
339588,Atlantic County,0
339589,Atlantic County,0
339590,Atlantic County,0
339591,Atlantic County,0
339592,Atlantic County,0
339593,Atlantic County,0
339594,Atlantic County,0
339595,Atlantic County,0
339596,Atlantic County,0
339597,Atlantic County,0
339600,Atlantic County,1
339691,Atlantic County,220
339661,Atlantic County,163
339969,Burlington County,2
339970,Burlington County,3
339971,Burlington County,3
339972,Burlington County,3
339973,Burlington County,3
339976,Burlington County,9
340006,Burlington County,149
340037,Burlington County,302
339968,Burlington County,2
339967,Burlington County,0
339966,Burlington County,0
339965,Burlington County,0
339945,Burlington County,0
339955,Burlington County,0
339956,Burlington County,0
339957,Burlington County,0
339958,Burlington County,0
339959,Burlington County,0
339960,Burlington County,0
339961,Burlington County,0
339962,Burlington County,0
339963,Burlington County,0
339964,Burlington County,0
340067,Burlington County,431
339849,Bergen County,1595
339818,Bergen County,1210
339879,Bergen County,2000
339916,Burlington County,0
343421,Warren County,132
343451,Warren County,161
343300,Warren County,0
343233,Union County,1086
343263,Union County,1326
343356,Warren County,2
343357,Warren County,2
343360,Warren County,3
343390,Warren County,86
343355,Warren County,2
343354,Warren County,2
343353,Warren County,1
343329,Warren County,0
343339,Warren County,0
343340,Warren County,0
343341,Warren County,0
343342,Warren County,0
343343,Warren County,0
343344,Warren County,0
343345,Warren County,0
343346,Warren County,0
343347,Warren County,0
343348,Warren County,0
343349,Warren County,1
343350,Warren County,1
343351,Warren County,1
343352,Warren County,1
342887,Somerset County,529
342736,Somerset County,0
342777,Somerset County,0
342765,Somerset County,0
342775,Somerset County,0
342638,Salem County,13
342669,Salem County,44
342699,Salem County,77
342776,Somerset County,0
342778,Somerset County,0
342826,Somerset County,295
342779,Somerset County,0
342857,Somerset County,423
342780,Somerset County,0
342781,Somerset County,0
342782,Somerset County,0
342783,Somerset County,0
342784,Somerset County,1
342785,Somerset County,2
342786,Somerset County,2
342787,Somerset County,2
342788,Somerset County,3
342789,Somerset County,6
342790,Somerset County,8
342791,Somerset County,8
342792,Somerset County,8
342793,Somerset County,8
342796,Somerset County,23
342924,Sussex County,0
343154,Union County,0
343155,Union County,0
343156,Union County,0
343157,Union County,0
343158,Union County,0
343159,Union County,0
343160,Union County,0
343153,Union County,0
343152,Union County,0
343151,Union County,0
343112,Union County,0
343141,Union County,0
343172,Union County,45
343202,Union County,737
343169,Union County,19
343168,Union County,10
343167,Union County,10
343161,Union County,0
343162,Union County,1
343163,Union County,1
343164,Union County,1
343165,Union County,1
343166,Union County,10
342976,Sussex County,0
342977,Sussex County,0
342978,Sussex County,1
342979,Sussex County,1
342975,Sussex County,0
342953,Sussex County,0
342963,Sussex County,0
342964,Sussex County,0
342965,Sussex County,0
342966,Sussex County,0
342967,Sussex County,0
342968,Sussex County,0
342969,Sussex County,0
342970,Sussex County,0
342971,Sussex County,0
342972,Sussex County,0
