,county_name,deaths
361875,Yates County,6
361845,Yates County,6
361585,Wyoming County,0
361596,Wyoming County,1
361593,Wyoming County,1
361592,Wyoming County,1
361591,Wyoming County,1
361590,Wyoming County,1
361589,Wyoming County,1
361588,Wyoming County,0
361587,Wyoming County,0
361586,Wyoming County,0
361584,Wyoming County,0
361579,Wyoming County,0
361583,Wyoming County,0
361582,Wyoming County,0
361581,Wyoming County,0
361580,Wyoming County,0
361657,Wyoming County,5
361626,Wyoming County,5
361578,Wyoming County,0
361536,Wyoming County,0
361577,Wyoming County,0
361576,Wyoming County,0
361575,Wyoming County,0
361565,Wyoming County,0
361770,Yates County,0
361769,Yates County,0
361768,Yates County,0
361767,Yates County,0
361766,Yates County,0
361765,Yates County,0
361764,Yates County,0
361763,Yates County,0
361771,Yates County,0
361772,Yates County,0
361773,Yates County,0
361774,Yates County,0
361814,Yates County,1
361784,Yates County,0
361781,Yates County,0
361780,Yates County,0
361779,Yates County,0
361778,Yates County,0
361777,Yates County,0
361776,Yates County,0
361775,Yates County,0
361724,Yates County,0
361687,Wyoming County,5
361753,Yates County,0
360448,Tompkins County,0
360458,Tompkins County,0
360457,Tompkins County,0
360456,Tompkins County,0
360455,Tompkins County,0
360454,Tompkins County,0
360453,Tompkins County,0
360452,Tompkins County,0
360451,Tompkins County,0
360450,Tompkins County,0
360449,Tompkins County,0
360447,Tompkins County,0
360460,Tompkins County,0
360437,Tompkins County,0
360408,Tompkins County,0
360459,Tompkins County,0
360461,Tompkins County,0
360498,Tompkins County,0
360468,Tompkins County,0
360462,Tompkins County,0
360465,Tompkins County,0
360464,Tompkins County,0
360463,Tompkins County,0
360341,Tioga County,17
360371,Tioga County,19
360638,Ulster County,0
360637,Ulster County,0
360636,Ulster County,0
360635,Ulster County,0
360625,Ulster County,0
360639,Ulster County,0
360640,Ulster County,0
360641,Ulster County,0
360642,Ulster County,0
360686,Ulster County,28
360656,Ulster County,4
360653,Ulster County,3
360652,Ulster County,1
360651,Ulster County,1
360650,Ulster County,0
360649,Ulster County,0
360648,Ulster County,0
360647,Ulster County,0
360646,Ulster County,0
360645,Ulster County,0
360644,Ulster County,0
360643,Ulster County,0
360529,Tompkins County,0
360596,Ulster County,0
360559,Tompkins County,0
360076,Sullivan County,0
360080,Sullivan County,0
360079,Sullivan County,0
360078,Sullivan County,0
360077,Sullivan County,0
360075,Sullivan County,0
360074,Sullivan County,0
360073,Sullivan County,0
360072,Sullivan County,0
360071,Sullivan County,0
360061,Sullivan County,0
360122,Sullivan County,16
360092,Sullivan County,5
360089,Sullivan County,2
360088,Sullivan County,0
360087,Sullivan County,0
360086,Sullivan County,0
360085,Sullivan County,0
360084,Sullivan County,0
360083,Sullivan County,0
360082,Sullivan County,0
360081,Sullivan County,0
359965,Suffolk County,1915
359934,Suffolk County,1256
359904,Suffolk County,96
359901,Suffolk County,53
359900,Suffolk County,44
359899,Suffolk County,40
359898,Suffolk County,37
359897,Suffolk County,30
360032,Sullivan County,0
359995,Suffolk County,1983
360259,Tioga County,0
360269,Tioga County,0
360268,Tioga County,0
360267,Tioga County,0
360266,Tioga County,0
360265,Tioga County,0
360264,Tioga County,0
360263,Tioga County,0
360262,Tioga County,0
360261,Tioga County,0
360260,Tioga County,0
360249,Tioga County,0
360270,Tioga County,0
360271,Tioga County,0
360272,Tioga County,0
360273,Tioga County,0
360310,Tioga County,8
360280,Tioga County,0
360277,Tioga County,0
360276,Tioga County,0
360275,Tioga County,0
360274,Tioga County,0
360153,Sullivan County,33
360183,Sullivan County,35
360220,Tioga County,0
361250,Wayne County,1
361220,Wayne County,0
361217,Wayne County,0
361216,Wayne County,0
361215,Wayne County,0
361214,Wayne County,0
361281,Wayne County,2
361213,Wayne County,0
361212,Wayne County,0
361211,Wayne County,0
361201,Wayne County,0
361200,Wayne County,0
361199,Wayne County,0
361189,Wayne County,0
361160,Wayne County,0
361202,Wayne County,0
361203,Wayne County,0
361210,Wayne County,0
361209,Wayne County,0
361208,Wayne County,0
361207,Wayne County,0
361206,Wayne County,0
361205,Wayne County,0
361204,Wayne County,0
361469,Westchester County,1381
361402,Westchester County,10
361438,Westchester County,1086
361408,Westchester County,71
361405,Westchester County,25
361404,Westchester County,19
361499,Westchester County,1425
361403,Westchester County,10
361401,Westchester County,10
361400,Westchester County,10
361311,Wayne County,2
361399,Westchester County,8
361398,Westchester County,1
361397,Westchester County,1
361396,Westchester County,1
361395,Westchester County,0
361394,Westchester County,0
361393,Westchester County,0
361392,Westchester County,0
361391,Westchester County,0
361390,Westchester County,0
361389,Westchester County,0
361388,Westchester County,0
361387,Westchester County,0
361377,Westchester County,0
361348,Westchester County,0
360830,Warren County,0
360829,Warren County,0
360828,Warren County,0
360827,Warren County,0
360826,Warren County,0
360825,Warren County,0
360824,Warren County,0
360823,Warren County,0
360813,Warren County,0
360831,Warren County,0
360832,Warren County,0
360833,Warren County,0
360834,Warren County,0
360874,Warren County,10
360844,Warren County,0
360841,Warren County,0
360840,Warren County,0
360839,Warren County,0
360838,Warren County,0
360837,Warren County,0
360836,Warren County,0
360835,Warren County,0
360717,Ulster County,80
360747,Ulster County,81
360784,Warren County,0
361018,Washington County,0
361028,Washington County,0
361027,Washington County,0
361026,Washington County,0
361025,Washington County,0
361024,Washington County,0
361023,Washington County,0
361022,Washington County,0
361021,Washington County,0
361020,Washington County,0
361019,Washington County,0
361017,Washington County,0
361016,Washington County,0
361015,Washington County,0
361014,Washington County,0
361013,Washington County,0
361012,Washington County,0
361011,Washington County,0
361001,Washington County,0
361029,Washington County,0
361032,Washington County,0
361123,Washington County,14
361093,Washington County,14
361062,Washington County,5
360905,Warren County,30
360972,Washington County,0
360935,Warren County,30
359896,Suffolk County,22
359895,Suffolk County,20
359894,Suffolk County,17
355747,Nassau County,0
355756,Nassau County,7
355755,Nassau County,4
355754,Nassau County,1
355753,Nassau County,1
355752,Nassau County,1
355751,Nassau County,1
352367,Cortland County,0
355750,Nassau County,1
355749,Nassau County,0
355748,Nassau County,0
352368,Cortland County,0
355758,Nassau County,7
352369,Cortland County,0
355737,Nassau County,0
352370,Cortland County,0
352371,Cortland County,0
352372,Cortland County,0
352373,Cortland County,0
352374,Cortland County,0
352375,Cortland County,0
352376,Cortland County,0
355757,Nassau County,7
355759,Nassau County,17
352189,Columbia County,0
355859,Nassau County,2185
352363,Cortland County,0
355829,Nassau County,2130
355798,Nassau County,1770
352366,Cortland County,0
352364,Cortland County,0
355768,Nassau County,143
352365,Cortland County,0
355765,Nassau County,63
355764,Nassau County,48
355763,Nassau County,35
355762,Nassau County,35
355761,Nassau County,27
355760,Nassau County,19
352377,Cortland County,0
352378,Cortland County,0
352379,Cortland County,0
355671,Montgomery County,4
352380,Cortland County,0
352381,Cortland County,0
352384,Cortland County,0
352414,Cortland County,1
355708,Nassau County,0
352445,Cortland County,1
352475,Cortland County,1
352287,Columbia County,47
355986,New York County,2254
352324,Cortland County,0
352190,Columbia County,1
352191,Columbia County,1
352192,Columbia County,1
352193,Columbia County,1
352196,Columbia County,2
352226,Columbia County,16
352257,Columbia County,40
356017,New York County,2933
352353,Cortland County,0
355925,New York County,0
355896,New York County,0
355935,New York County,0
355936,New York County,0
355937,New York County,0
355938,New York County,0
355956,New York County,215
355953,New York County,129
355952,New York County,119
355951,New York County,103
355950,New York County,93
355949,New York County,65
355948,New York County,55
355947,New York County,43
355946,New York County,35
355945,New York County,19
355944,New York County,10
355943,New York County,0
355942,New York County,0
355941,New York County,0
355940,New York County,0
355939,New York County,0
355641,Montgomery County,4
355422,Monroe County,87
355382,Monroe County,3
355392,Monroe County,14
355389,Monroe County,9
355388,Monroe County,8
355387,Monroe County,5
355386,Monroe County,5
355385,Monroe County,3
355384,Monroe County,3
352633,Delaware County,2
355453,Monroe County,211
355383,Monroe County,3
355381,Monroe County,2
355332,Monroe County,0
355380,Monroe County,1
355295,Madison County,9
355379,Monroe County,1
355378,Monroe County,1
355377,Monroe County,1
355376,Monroe County,1
355375,Monroe County,1
355374,Monroe County,0
355373,Monroe County,0
355372,Monroe County,0
355371,Monroe County,0
355361,Monroe County,0
352663,Delaware County,4
355563,Montgomery County,0
355562,Montgomery County,0
355561,Montgomery County,0
355560,Montgomery County,0
355559,Montgomery County,0
355549,Montgomery County,0
355520,Montgomery County,0
352541,Delaware County,0
355564,Montgomery County,0
355565,Montgomery County,0
355566,Montgomery County,0
355567,Montgomery County,0
352512,Delaware County,0
355610,Montgomery County,4
355580,Montgomery County,0
355577,Montgomery County,0
355576,Montgomery County,0
355575,Montgomery County,0
355574,Montgomery County,0
355573,Montgomery County,0
355572,Montgomery County,0
355571,Montgomery County,0
355570,Montgomery County,0
355569,Montgomery County,0
355568,Montgomery County,0
352551,Delaware County,0
352572,Delaware County,1
352602,Delaware County,2
352569,Delaware County,0
352568,Delaware County,0
352567,Delaware County,0
352566,Delaware County,0
352552,Delaware County,0
352553,Delaware County,0
352554,Delaware County,0
352555,Delaware County,0
352556,Delaware County,0
352557,Delaware County,0
352558,Delaware County,0
355483,Monroe County,245
352559,Delaware County,0
352560,Delaware County,0
352561,Delaware County,0
352562,Delaware County,0
352563,Delaware County,0
352564,Delaware County,0
352565,Delaware County,0
356047,New York County,3089
356581,Onondaga County,132
351814,Chenango County,0
351815,Chenango County,0
351816,Chenango County,0
351817,Chenango County,0
351813,Chenango County,0
356550,Onondaga County,34
351820,Chenango County,0
351800,Chenango County,0
356611,Onondaga County,166
351799,Chenango County,0
351801,Chenango County,0
351812,Chenango County,0
351802,Chenango County,0
351803,Chenango County,0
351804,Chenango County,0
351805,Chenango County,0
351806,Chenango County,0
351807,Chenango County,0
351808,Chenango County,0
351809,Chenango County,0
351810,Chenango County,0
351811,Chenango County,0
356460,Onondaga County,0
356499,Onondaga County,0
351881,Chenango County,5
351911,Chenango County,6
356489,Onondaga County,0
356500,Onondaga County,0
356501,Onondaga County,0
356502,Onondaga County,0
356503,Onondaga County,0
356520,Onondaga County,4
356517,Onondaga County,1
356516,Onondaga County,1
356515,Onondaga County,1
356514,Onondaga County,1
356513,Onondaga County,1
356512,Onondaga County,1
356511,Onondaga County,1
356510,Onondaga County,0
356509,Onondaga County,0
356508,Onondaga County,0
356507,Onondaga County,0
351850,Chenango County,1
356506,Onondaga County,0
356505,Onondaga County,0
356504,Onondaga County,0
351789,Chenango County,0
356648,Ontario County,0
356836,Orange County,0
351693,Chemung County,3
356799,Ontario County,26
356865,Orange County,0
356896,Orange County,40
356893,Orange County,12
356892,Orange County,12
356891,Orange County,4
356890,Orange County,4
356889,Orange County,3
356888,Orange County,1
356887,Orange County,1
356886,Orange County,0
356885,Orange County,0
356884,Orange County,0
356883,Orange County,0
356882,Orange County,0
356881,Orange County,0
356880,Orange County,0
356879,Orange County,0
356878,Orange County,0
356877,Orange County,0
356876,Orange County,0
356875,Orange County,0
356690,Ontario County,0
356699,Ontario County,0
356698,Ontario County,0
356697,Ontario County,0
356696,Ontario County,0
356695,Ontario County,0
356694,Ontario County,0
351760,Chenango County,0
356693,Ontario County,0
356692,Ontario County,0
356691,Ontario County,0
356689,Ontario County,0
356688,Ontario County,0
356687,Ontario County,0
356677,Ontario County,0
356700,Ontario County,0
356701,Ontario County,0
356702,Ontario County,0
356703,Ontario County,0
356769,Ontario County,21
351723,Chemung County,3
356738,Ontario County,4
356708,Ontario County,0
356705,Ontario County,0
356704,Ontario County,0
351948,Clinton County,0
356205,Niagara County,69
356174,Niagara County,26
356136,Niagara County,0
356144,Niagara County,0
356141,Niagara County,0
356140,Niagara County,0
356139,Niagara County,0
356138,Niagara County,0
356235,Niagara County,85
356137,Niagara County,0
356135,Niagara County,0
