,date,state,fips,cases,deaths,month
4601,2020-05-25,Massachusetts,25,93271,6416,5
4600,2020-05-25,Maryland,24,47754,2302,5
4599,2020-05-25,Maine,23,2074,78,5
4596,2020-05-25,Kansas,20,9272,201,5
4603,2020-05-25,Minnesota,27,21324,890,5
4598,2020-05-25,Louisiana,22,37916,2690,5
4597,2020-05-25,Kentucky,21,8899,403,5
4595,2020-05-25,Iowa,19,17628,460,5
4602,2020-05-25,Michigan,26,54816,5240,5
4618,2020-05-25,Oregon,41,3949,148,5
4604,2020-05-25,Mississippi,28,13458,635,5
4702,2020-05-27,Idaho,16,2731,82,5
4700,2020-05-27,Guam,66,1140,6,5
4699,2020-05-27,Georgia,13,42713,1904,5
4698,2020-05-27,Florida,12,52626,2318,5
4697,2020-05-27,District of Columbia,11,8406,445,5
4696,2020-05-27,Delaware,10,9096,344,5
4695,2020-05-27,Connecticut,9,41288,3803,5
4694,2020-05-27,Colorado,8,24775,1393,5
4693,2020-05-27,California,6,101873,3961,5
4692,2020-05-27,Arkansas,5,6277,120,5
4691,2020-05-27,Arizona,4,17262,831,5
4690,2020-05-27,Alaska,2,417,8,5
4689,2020-05-27,Alabama,1,16032,583,5
4688,2020-05-26,Wyoming,56,850,13,5
4687,2020-05-26,Wisconsin,55,15923,517,5
4686,2020-05-26,West Virginia,54,1854,74,5
4685,2020-05-26,Washington,53,21538,1091,5
4684,2020-05-26,Virginia,51,39342,1236,5
4683,2020-05-26,Virgin Islands,78,69,6,5
4682,2020-05-26,Vermont,50,967,54,5
4681,2020-05-26,Utah,49,8622,101,5
4680,2020-05-26,Texas,48,57573,1552,5
4679,2020-05-26,Tennessee,47,20960,339,5
4678,2020-05-26,South Dakota,46,4653,50,5
4677,2020-05-26,South Carolina,45,10416,446,5
4676,2020-05-26,Rhode Island,44,14210,634,5
4675,2020-05-26,Puerto Rico,72,3324,129,5
4674,2020-05-26,Pennsylvania,42,72873,5175,5
4673,2020-05-26,Oregon,41,3968,148,5
4672,2020-05-26,Oklahoma,40,6137,318,5
4701,2020-05-27,Hawaii,15,634,17,5
4703,2020-05-27,Illinois,17,114612,5118,5
4670,2020-05-26,Northern Mariana Islands,69,22,2,5
4704,2020-05-27,Indiana,18,33242,2030,5
4733,2020-05-27,South Dakota,46,4710,54,5
4732,2020-05-27,South Carolina,45,10623,466,5
4731,2020-05-27,Rhode Island,44,14353,655,5
4730,2020-05-27,Puerto Rico,72,3397,129,5
4729,2020-05-27,Pennsylvania,42,73646,5290,5
4728,2020-05-27,Oregon,41,4041,148,5
4727,2020-05-27,Oklahoma,40,6229,322,5
4726,2020-05-27,Ohio,39,33439,2044,5
4725,2020-05-27,Northern Mariana Islands,69,22,2,5
4724,2020-05-27,North Dakota,38,2442,59,5
4723,2020-05-27,North Carolina,37,24787,827,5
4722,2020-05-27,New York,36,369801,29339,5
4721,2020-05-27,New Mexico,35,7252,329,5
4720,2020-05-27,New Jersey,34,156628,11339,5
4719,2020-05-27,New Hampshire,33,4286,223,5
4718,2020-05-27,Nevada,32,8150,402,5
4717,2020-05-27,Nebraska,31,12975,168,5
4716,2020-05-27,Montana,30,481,17,5
4715,2020-05-27,Missouri,29,12624,705,5
4714,2020-05-27,Mississippi,28,14044,670,5
4713,2020-05-27,Minnesota,27,22474,942,5
4712,2020-05-27,Michigan,26,55544,5334,5
4711,2020-05-27,Massachusetts,25,94220,6547,5
4710,2020-05-27,Maryland,24,49042,2392,5
4709,2020-05-27,Maine,23,2137,81,5
4708,2020-05-27,Louisiana,22,38694,2722,5
4707,2020-05-27,Kentucky,21,9313,420,5
4706,2020-05-27,Kansas,20,9453,207,5
4705,2020-05-27,Iowa,19,18446,496,5
4671,2020-05-26,Ohio,39,33006,2002,5
4669,2020-05-26,North Dakota,38,2422,54,5
4605,2020-05-25,Missouri,29,12296,694,5
4636,2020-05-26,Arizona,4,16783,807,5
4634,2020-05-26,Alabama,1,15650,580,5
4633,2020-05-25,Wyoming,56,843,12,5
4632,2020-05-25,Wisconsin,55,15646,514,5
4631,2020-05-25,West Virginia,54,1782,73,5
4630,2020-05-25,Washington,53,21265,1076,5
4629,2020-05-25,Virginia,51,37727,1208,5
4628,2020-05-25,Virgin Islands,78,69,6,5
4627,2020-05-25,Vermont,50,962,54,5
4626,2020-05-25,Utah,49,8521,98,5
4625,2020-05-25,Texas,48,56490,1536,5
4624,2020-05-25,Tennessee,47,20533,334,5
4623,2020-05-25,South Dakota,46,4586,50,5
4622,2020-05-25,South Carolina,45,10178,440,5
4621,2020-05-25,Rhode Island,44,14065,608,5
4620,2020-05-25,Puerto Rico,72,3260,129,5
4619,2020-05-25,Pennsylvania,42,72356,5159,5
4593,2020-05-25,Illinois,17,112248,4912,5
4617,2020-05-25,Oklahoma,40,6090,313,5
4616,2020-05-25,Ohio,39,32477,1987,5
4615,2020-05-25,Northern Mariana Islands,69,22,2,5
4614,2020-05-25,North Dakota,38,2457,54,5
4613,2020-05-25,North Carolina,37,23997,780,5
4612,2020-05-25,New York,36,367625,29138,5
4611,2020-05-25,New Mexico,35,7026,320,5
4610,2020-05-25,New Jersey,34,155092,11144,5
4609,2020-05-25,New Hampshire,33,4197,210,5
4608,2020-05-25,Nevada,32,7959,396,5
4607,2020-05-25,Nebraska,31,12354,155,5
4606,2020-05-25,Montana,30,479,16,5
4635,2020-05-26,Alaska,2,416,8,5
4637,2020-05-26,Arkansas,5,6180,119,5
4668,2020-05-26,North Carolina,37,24188,789,5
4638,2020-05-26,California,6,99924,3859,5
4667,2020-05-26,New York,36,368669,29241,5
4666,2020-05-26,New Mexico,35,7130,325,5
4665,2020-05-26,New Jersey,34,155764,11191,5
4664,2020-05-26,New Hampshire,33,4231,214,5
4663,2020-05-26,Nevada,32,8059,396,5
4662,2020-05-26,Nebraska,31,12618,160,5
4661,2020-05-26,Montana,30,479,17,5
4660,2020-05-26,Missouri,29,12437,698,5
4659,2020-05-26,Mississippi,28,13731,652,5
4658,2020-05-26,Minnesota,27,21969,908,5
4657,2020-05-26,Michigan,26,55040,5266,5
4656,2020-05-26,Massachusetts,25,93693,6473,5
4655,2020-05-26,Maryland,24,48290,2333,5
4654,2020-05-26,Maine,23,2109,79,5
4653,2020-05-26,Louisiana,22,38252,2701,5
4652,2020-05-26,Kentucky,21,9175,407,5
4651,2020-05-26,Kansas,20,9352,204,5
4650,2020-05-26,Iowa,19,17999,480,5
4649,2020-05-26,Indiana,18,32856,2004,5
4648,2020-05-26,Illinois,17,113486,4960,5
4647,2020-05-26,Idaho,16,2699,81,5
4646,2020-05-26,Hawaii,15,633,17,5
4645,2020-05-26,Guam,66,1139,6,5
4644,2020-05-26,Georgia,13,42066,1867,5
4643,2020-05-26,Florida,12,52247,2258,5
4642,2020-05-26,District of Columbia,11,8334,440,5
4641,2020-05-26,Delaware,10,9066,335,5
