,county_name,deaths
233255,Barnstable County,123
233194,Barnstable County,6
233250,Barnstable County,116
233249,Barnstable County,115
233248,Barnstable County,115
233247,Barnstable County,115
233246,Barnstable County,111
233245,Barnstable County,110
233244,Barnstable County,110
233243,Barnstable County,109
233242,Barnstable County,107
233241,Barnstable County,103
233240,Barnstable County,99
233239,Barnstable County,98
233238,Barnstable County,96
233237,Barnstable County,95
233236,Barnstable County,93
233235,Barnstable County,90
233234,Barnstable County,86
233233,Barnstable County,82
233232,Barnstable County,79
233224,Barnstable County,48
233163,Barnstable County,0
233134,Barnstable County,0
235502,Suffolk County,850
235501,Suffolk County,844
235500,Suffolk County,839
235499,Suffolk County,838
235498,Suffolk County,827
235497,Suffolk County,818
235496,Suffolk County,813
235495,Suffolk County,807
235494,Suffolk County,797
235493,Suffolk County,793
235492,Suffolk County,787
235491,Suffolk County,778
235490,Suffolk County,768
235489,Suffolk County,759
235488,Suffolk County,749
235480,Suffolk County,609
235511,Suffolk County,922
235506,Suffolk County,871
235505,Suffolk County,868
235504,Suffolk County,861
235503,Suffolk County,852
235450,Suffolk County,29
235419,Suffolk County,0
235390,Suffolk County,0
235541,Suffolk County,1007
235699,Worcester County,813
235729,Worcester County,941
235607,Worcester County,0
235578,Worcester County,0
235638,Worcester County,17
235694,Worcester County,767
235693,Worcester County,753
235692,Worcester County,746
235691,Worcester County,738
235690,Worcester County,716
235689,Worcester County,700
235688,Worcester County,692
235687,Worcester County,679
235686,Worcester County,667
235685,Worcester County,652
235684,Worcester County,640
235683,Worcester County,625
235682,Worcester County,597
235681,Worcester County,581
235680,Worcester County,569
235679,Worcester County,554
235678,Worcester County,538
235677,Worcester County,524
235676,Worcester County,489
235668,Worcester County,331
235014,Norfolk County,0
235121,Norfolk County,771
235120,Norfolk County,759
235119,Norfolk County,749
235118,Norfolk County,735
235117,Norfolk County,728
235116,Norfolk County,725
235115,Norfolk County,719
235114,Norfolk County,710
235113,Norfolk County,696
235112,Norfolk County,676
235104,Norfolk County,575
235074,Norfolk County,26
235043,Norfolk County,0
234947,Nantucket County,1
234942,Nantucket County,1
234941,Nantucket County,1
234940,Nantucket County,1
234939,Nantucket County,1
234938,Nantucket County,1
234937,Nantucket County,1
234936,Nantucket County,1
234935,Nantucket County,1
234934,Nantucket County,1
234933,Nantucket County,1
234932,Nantucket County,1
234931,Nantucket County,1
234930,Nantucket County,1
234929,Nantucket County,1
234928,Nantucket County,1
234927,Nantucket County,1
234926,Nantucket County,1
234925,Nantucket County,1
234924,Nantucket County,1
234916,Nantucket County,1
234886,Nantucket County,0
234977,Nantucket County,1
235122,Norfolk County,774
235123,Norfolk County,782
235124,Norfolk County,784
235309,Plymouth County,492
235307,Plymouth County,481
235306,Plymouth County,470
235305,Plymouth County,464
235304,Plymouth County,460
235303,Plymouth County,455
235302,Plymouth County,444
235301,Plymouth County,435
235300,Plymouth County,424
235292,Plymouth County,341
235262,Plymouth County,9
235308,Plymouth County,487
235310,Plymouth County,501
235311,Plymouth County,508
235353,Plymouth County,668
235323,Plymouth County,581
235318,Plymouth County,552
235317,Plymouth County,548
235316,Plymouth County,542
235315,Plymouth County,539
235314,Plymouth County,530
235313,Plymouth County,522
235312,Plymouth County,513
235125,Norfolk County,791
235135,Norfolk County,855
235130,Norfolk County,821
235129,Norfolk County,815
235128,Norfolk County,811
235127,Norfolk County,799
235126,Norfolk County,794
235231,Plymouth County,0
235202,Plymouth County,0
235165,Norfolk County,940
233811,Dukes County,0
233819,Dukes County,0
233814,Dukes County,0
233813,Dukes County,0
233812,Dukes County,0
233810,Dukes County,0
233809,Dukes County,0
233808,Dukes County,0
233807,Dukes County,0
233806,Dukes County,0
233805,Dukes County,0
233804,Dukes County,0
233803,Dukes County,0
233802,Dukes County,0
233801,Dukes County,0
233800,Dukes County,0
233799,Dukes County,0
233798,Dukes County,0
233797,Dukes County,0
233849,Dukes County,0
233796,Dukes County,0
233758,Dukes County,0
233727,Dukes County,0
233698,Dukes County,0
233661,Bristol County,590
233788,Dukes County,0
233886,Essex County,0
234037,Essex County,1119
234007,Essex County,990
234002,Essex County,925
234000,Essex County,906
234103,Franklin County,0
234074,Franklin County,0
234001,Essex County,909
233999,Essex County,895
233946,Essex County,27
233915,Essex County,0
233998,Essex County,878
233997,Essex County,870
233996,Essex County,863
233995,Essex County,859
233994,Essex County,848
233993,Essex County,842
233992,Essex County,831
233991,Essex County,817
233990,Essex County,797
233989,Essex County,790
233988,Essex County,776
233987,Essex County,766
233986,Essex County,751
233985,Essex County,725
233984,Essex County,704
233976,Essex County,527
233429,Berkshire County,38
233443,Berkshire County,40
233438,Berkshire County,40
233437,Berkshire County,40
233436,Berkshire County,40
233435,Berkshire County,40
233434,Berkshire County,40
233433,Berkshire County,39
233432,Berkshire County,38
233431,Berkshire County,38
233430,Berkshire County,38
233428,Berkshire County,37
233427,Berkshire County,37
233426,Berkshire County,37
233425,Berkshire County,37
233424,Berkshire County,37
233423,Berkshire County,37
233422,Berkshire County,37
233421,Berkshire County,37
233420,Berkshire County,37
233412,Berkshire County,36
233322,Berkshire County,0
233285,Barnstable County,149
233382,Berkshire County,13
233351,Berkshire County,0
233570,Bristol County,8
233631,Bristol County,455
233626,Bristol County,415
233625,Bristol County,410
233624,Bristol County,404
233623,Bristol County,399
233622,Bristol County,390
233621,Bristol County,382
233620,Bristol County,375
233619,Bristol County,369
