,county_name,deaths
340401,Cape May County,46
340039,Burlington County,311
340033,Burlington County,290
340032,Burlington County,286
340031,Burlington County,277
340030,Burlington County,275
340029,Burlington County,273
340028,Burlington County,271
340027,Burlington County,270
340026,Burlington County,266
340025,Burlington County,261
340024,Burlington County,249
340023,Burlington County,249
340022,Burlington County,247
340021,Burlington County,245
340020,Burlington County,239
340019,Burlington County,239
340018,Burlington County,238
340017,Burlington County,228
340016,Burlington County,214
340008,Burlington County,164
339978,Burlington County,11
340034,Burlington County,291
340196,Camden County,180
340166,Camden County,8
340135,Camden County,0
340106,Camden County,0
340069,Burlington County,433
339881,Bergen County,2004
339851,Bergen County,1611
339846,Bergen County,1579
339845,Bergen County,1573
339844,Bergen County,1567
339843,Bergen County,1553
339842,Bergen County,1547
339947,Burlington County,0
339918,Burlington County,0
340323,Cape May County,0
340294,Cape May County,0
340257,Camden County,521
340354,Cape May County,2
340399,Cape May County,42
340398,Cape May County,42
340397,Cape May County,41
340396,Cape May County,41
340395,Cape May County,41
340394,Cape May County,40
340393,Cape May County,39
340392,Cape May County,37
340384,Cape May County,26
340222,Camden County,338
340221,Camden County,334
340220,Camden County,327
340219,Camden County,318
340218,Camden County,313
340217,Camden County,307
340216,Camden County,307
340215,Camden County,307
340214,Camden County,303
340213,Camden County,299
340212,Camden County,290
340211,Camden County,286
340210,Camden County,279
340209,Camden County,275
340208,Camden County,272
340207,Camden County,268
340206,Camden County,262
340205,Camden County,256
340204,Camden County,246
340227,Camden County,357
339841,Bergen County,1528
339840,Bergen County,1525
339839,Bergen County,1525
339838,Bergen County,1521
339693,Atlantic County,221
339663,Atlantic County,167
339837,Bergen County,1515
339836,Bergen County,1508
339835,Bergen County,1500
339834,Bergen County,1474
339833,Bergen County,1460
339832,Bergen County,1455
339831,Bergen County,1450
339830,Bergen County,1443
339829,Bergen County,1423
339828,Bergen County,1409
339820,Bergen County,1261
339790,Bergen County,189
339759,Bergen County,0
339730,Bergen County,0
339658,Atlantic County,159
339657,Atlantic County,159
339656,Atlantic County,158
339655,Atlantic County,156
339632,Atlantic County,51
339602,Atlantic County,1
339571,Atlantic County,0
339542,Atlantic County,0
339654,Atlantic County,155
339653,Atlantic County,149
339652,Atlantic County,144
339651,Atlantic County,144
339650,Atlantic County,143
339649,Atlantic County,130
339648,Atlantic County,128
339647,Atlantic County,126
339646,Atlantic County,121
339645,Atlantic County,112
339644,Atlantic County,112
339643,Atlantic County,110
339642,Atlantic County,107
339641,Atlantic County,99
339640,Atlantic County,88
340400,Cape May County,44
343453,Warren County,161
343423,Warren County,132
343418,Warren County,131
343417,Warren County,131
343416,Warren County,131
343415,Warren County,129
343414,Warren County,129
343413,Warren County,128
343412,Warren County,126
343411,Warren County,126
343410,Warren County,126
343409,Warren County,123
343408,Warren County,123
343407,Warren County,122
343036,Sussex County,145
343034,Sussex County,145
343033,Sussex County,141
343032,Sussex County,140
343031,Sussex County,140
343030,Sussex County,139
343029,Sussex County,138
343028,Sussex County,138
343027,Sussex County,137
343026,Sussex County,137
343025,Sussex County,137
343024,Sussex County,136
343016,Sussex County,120
343035,Sussex County,145
343037,Sussex County,145
343038,Sussex County,146
343047,Sussex County,149
343042,Sussex County,148
343041,Sussex County,148
343040,Sussex County,147
343039,Sussex County,147
343406,Warren County,121
342846,Somerset County,397
342844,Somerset County,387
342843,Somerset County,384
342842,Somerset County,382
342841,Somerset County,375
342840,Somerset County,375
342839,Somerset County,363
342838,Somerset County,359
342837,Somerset County,348
342836,Somerset County,340
342828,Somerset County,306
342798,Somerset County,26
342767,Somerset County,0
342738,Somerset County,0
342845,Somerset County,392
342986,Sussex County,9
342847,Somerset County,399
342955,Sussex County,0
342926,Sussex County,0
342889,Somerset County,530
342859,Somerset County,424
342854,Somerset County,419
342853,Somerset County,417
342852,Somerset County,411
342851,Somerset County,410
342850,Somerset County,408
342849,Somerset County,399
342848,Somerset County,399
343302,Warren County,0
343265,Union County,1328
343405,Warren County,121
343404,Warren County,120
343403,Warren County,118
343402,Warren County,118
343401,Warren County,115
343400,Warren County,114
343392,Warren County,91
343362,Warren County,6
343331,Warren County,0
343216,Union County,957
343215,Union County,946
343214,Union County,939
343213,Union County,930
343212,Union County,908
343204,Union County,768
343174,Union County,71
343143,Union County,0
343114,Union County,0
343077,Sussex County,193
343217,Union County,962
343218,Union County,977
343219,Union County,994
343235,Union County,1092
343230,Union County,1073
343229,Union County,1067
343220,Union County,1005
343228,Union County,1060
343227,Union County,1047
343226,Union County,1042
343225,Union County,1030
343224,Union County,1024
343223,Union County,1024
343222,Union County,1022
343221,Union County,1018
340402,Cape May County,48
341167,Hudson County,1205
341162,Hudson County,1182
341161,Hudson County,1173
341160,Hudson County,1168
341159,Hudson County,1161
341158,Hudson County,1158
341157,Hudson County,1143
341156,Hudson County,1137
341155,Hudson County,1137
341154,Hudson County,1137
341153,Hudson County,1134
341152,Hudson County,1121
341151,Hudson County,1106
341150,Hudson County,1082
341149,Hudson County,1068
341148,Hudson County,1057
341147,Hudson County,1045
341146,Hudson County,1042
341145,Hudson County,1032
341197,Hudson County,1455
341144,Hudson County,1007
340968,Gloucester County,138
340966,Gloucester County,134
340965,Gloucester County,132
340964,Gloucester County,129
340963,Gloucester County,127
340962,Gloucester County,125
340961,Gloucester County,117
340960,Gloucester County,116
340959,Gloucester County,113
340958,Gloucester County,106
340957,Gloucester County,98
340967,Gloucester County,134
340969,Gloucester County,138
340970,Gloucester County,140
341136,Hudson County,870
341106,Hudson County,87
341075,Hudson County,0
341046,Hudson County,0
341009,Gloucester County,188
340979,Gloucester County,151
340974,Gloucester County,147
340973,Gloucester County,147
340972,Gloucester County,147
340971,Gloucester County,143
342701,Salem County,77
341422,Mercer County,0
341385,Hunterdon County,124
341350,Hunterdon County,60
341451,Mercer County,0
341520,Mercer County,360
341512,Mercer County,280
341482,Mercer County,16
341355,Hunterdon County,62
341349,Hunterdon County,60
341263,Hunterdon County,0
341234,Hunterdon County,0
341348,Hunterdon County,58
341347,Hunterdon County,58
341346,Hunterdon County,57
341345,Hunterdon County,57
341344,Hunterdon County,57
341343,Hunterdon County,57
341342,Hunterdon County,57
341341,Hunterdon County,55
341340,Hunterdon County,55
341339,Hunterdon County,55
341338,Hunterdon County,53
341337,Hunterdon County,52
341336,Hunterdon County,52
341335,Hunterdon County,49
341334,Hunterdon County,49
341333,Hunterdon County,48
341332,Hunterdon County,47
341324,Hunterdon County,38
341294,Hunterdon County,2
340572,Cumberland County,23
340542,Cumberland County,2
340603,Cumberland County,86
340598,Cumberland County,73
340597,Cumberland County,72
340596,Cumberland County,69
340595,Cumberland County,65
340594,Cumberland County,65
340593,Cumberland County,63
340592,Cumberland County,63
340591,Cumberland County,63
340590,Cumberland County,62
340589,Cumberland County,61
340588,Cumberland County,60
340587,Cumberland County,57
340586,Cumberland County,56
340585,Cumberland County,53
