,county_name,deaths
350545,Allegany County,2
350365,Albany County,94
350363,Albany County,92
350362,Albany County,91
350361,Albany County,90
350360,Albany County,90
350359,Albany County,89
350358,Albany County,86
350357,Albany County,82
350356,Albany County,80
350348,Albany County,42
350364,Albany County,93
350366,Albany County,95
350544,Allegany County,2
350536,Allegany County,2
350506,Allegany County,1
350475,Allegany County,0
350446,Allegany County,0
350409,Albany County,109
350379,Albany County,100
350374,Albany County,99
350373,Albany County,99
350372,Albany County,99
350371,Albany County,99
350370,Albany County,98
350369,Albany County,98
350368,Albany County,98
350367,Albany County,97
350318,Albany County,8
350287,Albany County,0
350258,Albany County,0
350546,Allegany County,2
353757,Genesee County,5
353756,Genesee County,5
353755,Genesee County,5
353754,Genesee County,5
353753,Genesee County,5
353752,Genesee County,5
353751,Genesee County,4
353750,Genesee County,4
353749,Genesee County,4
353748,Genesee County,4
353747,Genesee County,4
353746,Genesee County,4
353745,Genesee County,4
353744,Genesee County,4
353743,Genesee County,4
353742,Genesee County,4
353741,Genesee County,3
353740,Genesee County,3
353732,Genesee County,3
353758,Genesee County,5
353763,Genesee County,5
353859,Greene County,0
353830,Greene County,0
353793,Genesee County,5
353605,Fulton County,26
353575,Fulton County,24
353570,Fulton County,19
353569,Fulton County,19
353568,Fulton County,19
353567,Fulton County,19
353566,Fulton County,19
353565,Fulton County,19
353564,Fulton County,18
353563,Fulton County,18
353562,Fulton County,18
353561,Fulton County,18
353560,Fulton County,15
353559,Fulton County,15
353558,Fulton County,15
353557,Fulton County,15
353556,Fulton County,15
353555,Fulton County,15
353702,Genesee County,1
353671,Genesee County,0
353642,Genesee County,0
353890,Greene County,0
354120,Hamilton County,1
353981,Greene County,13
354118,Hamilton County,1
354117,Hamilton County,1
354116,Hamilton County,1
354108,Hamilton County,0
354078,Hamilton County,0
354047,Hamilton County,0
354018,Hamilton County,0
353929,Greene County,9
353928,Greene County,9
353920,Greene County,5
353951,Greene County,13
353946,Greene County,13
353945,Greene County,13
353944,Greene County,13
353943,Greene County,13
353942,Greene County,13
353941,Greene County,13
353940,Greene County,13
353939,Greene County,13
353938,Greene County,13
353937,Greene County,12
353936,Greene County,12
353935,Greene County,12
353934,Greene County,12
353933,Greene County,11
353932,Greene County,10
353931,Greene County,10
353930,Greene County,9
353554,Fulton County,14
353553,Fulton County,13
353552,Fulton County,13
353078,Essex County,0
353182,Essex County,0
353181,Essex County,0
353180,Essex County,0
353179,Essex County,0
353178,Essex County,0
353177,Essex County,0
353176,Essex County,0
353168,Essex County,0
353138,Essex County,0
353107,Essex County,0
353544,Fulton County,5
352993,Erie County,426
352991,Erie County,410
352990,Erie County,400
352989,Erie County,394
352988,Erie County,386
352980,Erie County,248
352950,Erie County,27
352919,Erie County,0
352890,Erie County,0
352853,Dutchess County,152
352992,Erie County,420
352994,Erie County,432
352995,Erie County,437
353041,Erie County,574
353011,Erie County,523
353006,Erie County,497
353005,Erie County,497
353004,Erie County,497
353003,Erie County,494
353002,Erie County,485
353001,Erie County,479
353000,Erie County,471
352999,Erie County,465
352998,Erie County,460
352997,Erie County,454
352996,Erie County,445
353183,Essex County,0
353184,Essex County,0
353387,Franklin County,0
353382,Franklin County,0
353381,Franklin County,0
353380,Franklin County,0
353379,Franklin County,0
353378,Franklin County,0
353377,Franklin County,0
353376,Franklin County,0
353375,Franklin County,0
353374,Franklin County,0
353373,Franklin County,0
353185,Essex County,0
353514,Fulton County,0
353483,Fulton County,0
353454,Fulton County,0
353417,Franklin County,0
353372,Franklin County,0
353371,Franklin County,0
353370,Franklin County,0
353369,Franklin County,0
353266,Franklin County,0
353229,Essex County,0
353199,Essex County,0
353194,Essex County,0
353193,Essex County,0
353192,Essex County,0
353191,Essex County,0
353190,Essex County,0
353189,Essex County,0
353188,Essex County,0
353187,Essex County,0
353186,Essex County,0
353368,Franklin County,0
353367,Franklin County,0
353366,Franklin County,0
353365,Franklin County,0
353364,Franklin County,0
353356,Franklin County,0
353326,Franklin County,0
353295,Franklin County,0
354119,Hamilton County,1
354121,Hamilton County,1
350547,Allegany County,2
354921,Lewis County,5
355018,Livingston County,1
354987,Livingston County,0
354958,Livingston County,0
354830,Lewis County,0
354799,Lewis County,0
354770,Lewis County,0
354733,Kings County,7132
354703,Kings County,6811
354698,Kings County,6732
354697,Kings County,6700
354696,Kings County,6689
354695,Kings County,6664
354694,Kings County,6642
354693,Kings County,6628
354692,Kings County,6602
354691,Kings County,6597
354690,Kings County,6568
354689,Kings County,6547
354688,Kings County,6516
354687,Kings County,6480
354686,Kings County,6437
354685,Kings County,6412
354860,Lewis County,5
354891,Lewis County,5
354886,Lewis County,5
354885,Lewis County,5
354884,Lewis County,5
354883,Lewis County,5
354882,Lewis County,5
354881,Lewis County,5
354880,Lewis County,5
354879,Lewis County,5
354878,Lewis County,5
354877,Lewis County,5
354876,Lewis County,5
354875,Lewis County,5
354874,Lewis County,5
354873,Lewis County,5
354872,Lewis County,5
354871,Lewis County,5
354870,Lewis County,5
354869,Lewis County,5
354868,Lewis County,5
355048,Livingston County,1
354122,Hamilton County,1
355257,Madison County,8
355255,Madison County,8
355254,Madison County,8
355253,Madison County,8
355252,Madison County,7
355251,Madison County,7
355250,Madison County,7
355249,Madison County,7
355248,Madison County,7
355247,Madison County,7
355246,Madison County,7
355245,Madison County,7
355244,Madison County,7
355236,Madison County,6
355256,Madison County,8
355206,Madison County,2
355267,Madison County,8
355262,Madison County,8
355261,Madison County,8
355260,Madison County,8
355259,Madison County,8
355258,Madison County,8
355056,Livingston County,3
355069,Livingston County,3
355068,Livingston County,3
355067,Livingston County,3
355066,Livingston County,3
355065,Livingston County,3
355064,Livingston County,3
355063,Livingston County,3
355062,Livingston County,3
355061,Livingston County,3
355060,Livingston County,3
355059,Livingston County,3
355058,Livingston County,3
355057,Livingston County,3
355175,Madison County,0
355146,Madison County,0
355109,Livingston County,4
355079,Livingston County,3
355074,Livingston County,3
355073,Livingston County,3
355072,Livingston County,3
355071,Livingston County,3
355070,Livingston County,3
354684,Kings County,6383
354683,Kings County,6340
354682,Kings County,6276
354266,Herkimer County,3
354235,Herkimer County,0
354312,Herkimer County,3
354311,Herkimer County,3
354310,Herkimer County,3
354309,Herkimer County,3
354308,Herkimer County,3
354307,Herkimer County,3
354306,Herkimer County,3
354305,Herkimer County,3
354304,Herkimer County,3
354296,Herkimer County,3
354206,Herkimer County,0
354681,Kings County,6219
354134,Hamilton County,1
354133,Hamilton County,1
354132,Hamilton County,1
354131,Hamilton County,1
354130,Hamilton County,1
354129,Hamilton County,1
354128,Hamilton County,1
354127,Hamilton County,1
354126,Hamilton County,1
354125,Hamilton County,1
354124,Hamilton County,1
354123,Hamilton County,1
354139,Hamilton County,1
354169,Hamilton County,1
354313,Herkimer County,3
354314,Herkimer County,3
354315,Herkimer County,3
354545,Jefferson County,0
354316,Herkimer County,3
354680,Kings County,6147
354672,Kings County,5638
354642,Kings County,896
354611,Kings County,0
354582,Kings County,0
354515,Jefferson County,0
354510,Jefferson County,0
354509,Jefferson County,0
354508,Jefferson County,0
354357,Herkimer County,3
354327,Herkimer County,3
354322,Herkimer County,3
354321,Herkimer County,3
354320,Herkimer County,3
354319,Herkimer County,3
354318,Herkimer County,3
354317,Herkimer County,3
354498,Jefferson County,0
354507,Jefferson County,0
354506,Jefferson County,0
354505,Jefferson County,0
354504,Jefferson County,0
354503,Jefferson County,0
354502,Jefferson County,0
354501,Jefferson County,0
354500,Jefferson County,0
354499,Jefferson County,0
354497,Jefferson County,0
354394,Jefferson County,0
354496,Jefferson County,0
354495,Jefferson County,0
354494,Jefferson County,0
354493,Jefferson County,0
354492,Jefferson County,0
354484,Jefferson County,0
354454,Jefferson County,0
354423,Jefferson County,0
351312,Cayuga County,2
351311,Cayuga County,2
351310,Cayuga County,2
351309,Cayuga County,2
351308,Cayuga County,2
351307,Cayuga County,2
351306,Cayuga County,2
351305,Cayuga County,2
351304,Cayuga County,2
351303,Cayuga County,2
351302,Cayuga County,2
351301,Cayuga County,2
351300,Cayuga County,2
351299,Cayuga County,2
351298,Cayuga County,2
351297,Cayuga County,2
351296,Cayuga County,2
351313,Cayuga County,2
351446,Chautauqua County,1
351415,Chautauqua County,0
351386,Chautauqua County,0
351349,Cayuga County,2
351319,Cayuga County,2
351314,Cayuga County,2
351227,Cayuga County,0
351198,Cayuga County,0
351161,Cattaraugus County,6
351131,Cattaraugus County,5
351126,Cattaraugus County,3
351125,Cattaraugus County,3
351124,Cattaraugus County,3
351123,Cattaraugus County,3
351122,Cattaraugus County,3
351121,Cattaraugus County,3
351120,Cattaraugus County,3
351119,Cattaraugus County,2
351118,Cattaraugus County,2
351117,Cattaraugus County,2
351288,Cayuga County,2
351258,Cayuga County,0
351537,Chautauqua County,3
351664,Chemung County,3
351634,Chemung County,0
351603,Chemung County,0
351574,Chemung County,0
351476,Chautauqua County,2
351491,Chautauqua County,2
351489,Chautauqua County,2
351488,Chautauqua County,2
351487,Chautauqua County,2
351486,Chautauqua County,2
351485,Chautauqua County,2
351484,Chautauqua County,2
351490,Chautauqua County,2
351492,Chautauqua County,2
351493,Chautauqua County,2
351507,Chautauqua County,3
351502,Chautauqua County,2
351501,Chautauqua County,2
351500,Chautauqua County,2
351499,Chautauqua County,2
351498,Chautauqua County,2
351497,Chautauqua County,2
351496,Chautauqua County,2
351495,Chautauqua County,2
351494,Chautauqua County,2
351116,Cattaraugus County,2
351115,Cattaraugus County,2
351114,Cattaraugus County,2
350745,Bronx County,4403
350743,Bronx County,4382
350742,Bronx County,4368
350741,Bronx County,4351
350740,Bronx County,4326
350739,Bronx County,4311
350738,Bronx County,4285
350737,Bronx County,4267
350736,Bronx County,4252
350735,Bronx County,4221
350734,Bronx County,4192
350733,Bronx County,4172
350732,Bronx County,4145
350724,Bronx County,3820
350694,Bronx County,627
350663,Bronx County,0
350634,Bronx County,0
350744,Bronx County,4393
350746,Bronx County,4417
350747,Bronx County,4435
350851,Broome County,0
350822,Broome County,0
350785,Bronx County,4776
350755,Bronx County,4520
350750,Bronx County,4468
350749,Bronx County,4458
350748,Bronx County,4448
351113,Cattaraugus County,2
350567,Allegany County,2
350562,Allegany County,2
350561,Allegany County,2
350560,Allegany County,2
350559,Allegany County,2
350558,Allegany County,2
350557,Allegany County,2
350556,Allegany County,2
350555,Allegany County,2
350554,Allegany County,2
